,mouse,area,session,win,Hit,FA,DP
101,VE077,mPFC,1,Post,0.05263157894736842,0.11764705882352941,-0.43302482588245184
102,VE077,mPFC,1,Control,0.664179104477612,0.051094890510948905,2.0582248534966836
103,VE077,mPFC,1,Stim,0.06666666666666667,0.0,inf
104,VE077,mPFC,1,Pre,0.25,0.11764705882352941,0.5123416825597362
105,VE077,wM2,1,Response,0.4,0.0,inf
106,VE077,wM2,1,Post,0.8,0.4,1.0949683367087142
107,VE077,wM2,1,Control,0.64,0.11538461538461539,1.5568384955581185
108,VE077,wM2,1,Stim,0.0,0.0,
109,VE077,wM2,1,Pre,0.0,0.0,
110,VE077,wM2,2,Response,0.3,0.0,inf
111,VE077,wM2,2,Post,0.7272727272727273,0.36363636363636365,0.9533410421002819
112,VE077,wM2,2,Control,0.5972222222222222,0.12941176470588237,1.3753398043691574
113,VE077,wM2,2,Stim,0.4444444444444444,0.25,0.5347794513142197
114,VE077,wM2,2,Pre,0.42857142857142855,0.1111111111111111,1.0406279790546447
115,VE077,wM2,3,Response,0.75,0.0,inf
116,VE077,wM2,3,Post,0.9090909090909091,0.45454545454545453,1.4493630304403649
117,VE077,wM2,3,Control,0.6956521739130435,0.12359550561797752,1.6691353484713582
118,VE077,wM2,3,Stim,0.3333333333333333,0.1,0.850824266249143
119,VE077,wM2,3,Pre,0.8,0.0,inf
120,VE077,ALM,1,Response,0.35714285714285715,0.0,inf
121,VE077,ALM,1,Post,0.42857142857142855,0.0,inf
122,VE077,ALM,1,Control,0.8142857142857143,0.21428571428571427,1.6854392389228638
123,VE077,ALM,1,Stim,0.6666666666666666,0.13333333333333333,1.541498915932243
124,VE077,ALM,1,Pre,0.5384615384615384,0.2857142857142857,0.6625074372225022
125,VE077,ALM,2,Response,0.46153846153846156,0.0,inf
126,VE077,ALM,2,Post,0.5714285714285714,0.21428571428571427,0.9716509775360797
127,VE077,ALM,2,Control,0.8026315789473685,0.14457831325301204,1.911032090321395
128,VE077,ALM,2,Stim,0.5714285714285714,0.42857142857142855,0.36002473958541004
129,VE077,ALM,2,Pre,0.7777777777777778,0.35714285714285715,1.1308160305869568
130,VE077,ALM,3,Response,0.5,0.05555555555555555,1.5932188180230507
131,VE077,ALM,3,Post,0.8125,0.47058823529411764,0.9609378328271488
132,VE077,ALM,3,Control,0.9174311926605505,0.3302752293577982,1.827151432289452
133,VE077,ALM,3,Stim,0.8333333333333334,0.5294117647058824,0.8936302922934287
134,VE077,ALM,3,Pre,0.875,0.42105263157894735,1.3495507051652753
135,VE077,ALM,4,Response,0.2222222222222222,0.16666666666666666,0.20271189231531417
136,VE077,ALM,4,Post,0.6666666666666666,0.3333333333333333,0.861454598590915
137,VE077,ALM,4,Control,0.6666666666666666,0.07547169811320754,1.8669344804502512
138,VE077,ALM,4,Stim,0.8,0.25,1.5161109837689963
139,VE077,ALM,4,Pre,0.4,0.0,inf
140,VE077,tjM1,1,Response,1.0,0.08333333333333333,inf
141,VE077,tjM1,1,Post,0.7692307692307693,0.5714285714285714,0.5563035475834247
142,VE077,tjM1,1,Control,0.7105263157894737,0.15151515151515152,1.584879704928022
143,VE077,tjM1,1,Stim,0.5,0.2,0.8416212335729143
144,VE077,tjM1,1,Pre,0.25,0.18181818181818182,0.23396811834130338
145,VE077,tjM1,2,Response,0.5,0.125,1.1503493803760083
146,VE077,tjM1,2,Post,0.4666666666666667,0.5333333333333333,-0.16730346781425814
147,VE077,tjM1,2,Control,0.7339449541284404,0.13934426229508196,1.7080583399381655
148,VE077,tjM1,2,Stim,0.35714285714285715,0.5333333333333333,-0.4497580907076987
149,VE077,tjM1,2,Pre,0.3076923076923077,0.06666666666666667,0.9986837226706695
150,VE077,tjM1,3,Response,0.16666666666666666,0.0,inf
151,VE077,tjM1,3,Post,0.5454545454545454,0.09090909090909091,1.449363030440365
