,hypothesis,model_name,t_trial_21,t_trial12,power,activation,seed
0,nofb,base,0.1693873405456543,0.20532764494419098,0,0,1
1,nofb,base,0.16529272496700287,0.2028278261423111,0,0,2
2,nofb,base,0.1662556380033493,0.20196498930454254,0,0,3
3,nofb,base,0.1693873405456543,0.4904322624206543,0.1,0,1
4,nofb,base,0.16529272496700287,0.49328315258026123,0.1,0,2
5,nofb,base,0.1662556380033493,0.5002288818359375,0.1,0,3
6,nofb,base,0.1693873405456543,0.5797263979911804,0.2,0,1
7,nofb,base,0.16529272496700287,0.5913609862327576,0.2,0,2
8,nofb,base,0.1662556380033493,0.582226574420929,0.2,0,3
9,nofb,base,0.1693873405456543,0.6095525026321411,0.5,0,1
10,nofb,base,0.16529272496700287,0.6179488301277161,0.5,0,2
11,nofb,base,0.1662556380033493,0.608350932598114,0.5,0,3
12,nofb,base,0.1693873405456543,0.6006489992141724,1,0,1
13,nofb,base,0.16529272496700287,0.6095859408378601,1,0,2
14,nofb,base,0.1662556380033493,0.6020858287811279,1,0,3
15,nofb,Full rec. method,0.20705023407936096,0.23320794105529785,0,0,0
16,nofb,Full rec. method,0.20769980549812317,0.5480208396911621,0.1,0,0
17,nofb,Full rec. method,0.207056924700737,0.6498317122459412,0.2,0,0
18,nofb,Full rec. method,0.2075025737285614,0.658143162727356,0.5,0,0
19,nofb,Full rec. method,0.20682255923748016,0.6649870276451111,1,0,0
20,nofb,Full rec. method,0.18157830834388733,0.21757343411445618,0,0,1
21,nofb,Full rec. method,0.1816239058971405,0.5621438026428223,0.1,0,1
22,nofb,Full rec. method,0.1817351132631302,0.6352713704109192,0.2,0,1
23,nofb,Full rec. method,0.18105152249336243,0.6427218914031982,0.5,0,1
24,nofb,Full rec. method,0.1811690628528595,0.6275973916053772,1,0,1
25,nofb,Full rec. method,0.1823933869600296,0.21667827665805817,0,0,2
26,nofb,Full rec. method,0.18214590847492218,0.5869301557540894,0.1,0,2
27,nofb,Full rec. method,0.18302811682224274,0.6270910501480103,0.2,0,2
28,nofb,Full rec. method,0.18243417143821716,0.646712064743042,0.5,0,2
29,nofb,Full rec. method,0.1882665604352951,0.6268512606620789,1,0,2
30,nofb,No sparsity,0.2064698338508606,0.24260622262954712,0,0,0
31,nofb,No sparsity,0.21383018791675568,0.5644718408584595,0.1,0,0
32,nofb,No sparsity,0.21514424681663513,0.6496727466583252,0.2,0,0
33,nofb,No sparsity,0.23307906091213226,0.6337958574295044,0.5,0,0
34,nofb,No sparsity,0.32877933979034424,0.6082742810249329,1,0,0
35,nofb,No sparsity,0.20521019399166107,0.24814128875732422,0,0,1
36,nofb,No sparsity,0.20753104984760284,0.6209923028945923,0.1,0,1
37,nofb,No sparsity,0.2112676054239273,0.6157828569412231,0.2,0,1
38,nofb,No sparsity,0.21053442358970642,0.6127021312713623,0.5,0,1
39,nofb,No sparsity,0.24882493913173676,0.5934733748435974,1,0,1
40,nofb,No sparsity,0.18106302618980408,0.21512937545776367,0,0,2
41,nofb,No sparsity,0.17998452484607697,0.5271478295326233,0.1,0,2
42,nofb,No sparsity,0.1798492968082428,0.655647337436676,0.2,0,2
43,nofb,No sparsity,0.18276046216487885,0.6464561820030212,0.5,0,2
44,nofb,No sparsity,0.22347886860370636,0.610720157623291,1,0,2
45,nofb,Non-local inhibition,0.17926566302776337,0.21225214004516602,0,0,0
46,nofb,Non-local inhibition,0.21140234172344208,0.6294813752174377,0.1,0,0
47,nofb,Non-local inhibition,0.23877570033073425,0.612911581993103,0.2,0,0
48,nofb,Non-local inhibition,0.2987077236175537,0.6282917857170105,0.5,0,0
49,nofb,Non-local inhibition,0.40516966581344604,0.6387386322021484,1,0,0
50,nofb,Non-local inhibition,0.1926645189523697,0.22876526415348053,0,0,1
51,nofb,Non-local inhibition,0.6226446628570557,0.6083113551139832,0.1,0,1
52,nofb,Non-local inhibition,0.8504670262336731,0.617224931716919,0.2,0,1
53,nofb,Non-local inhibition,0.9896231889724731,0.62227463722229,0.5,0,1
54,nofb,Non-local inhibition,1.1319764852523804,0.6308427453041077,1,0,1
55,nofb,Non-local inhibition,0.22037281095981598,0.26494887471199036,0,0,2
56,nofb,Non-local inhibition,0.357201486825943,0.5417771339416504,0.1,0,2
