,hypothesis,model_name,t_trial_21,t_trial12,power,activation,seed
0,withfb1,base,0.16652819514274597,0.20339685678482056,0,0,1
1,withfb1,base,0.1690116822719574,0.20784886181354523,0,0,2
2,withfb1,base,0.16683241724967957,0.20429448783397675,0,0,3
3,withfb1,base,0.1684989482164383,0.5832611322402954,0.1,0,1
4,withfb1,base,0.17165035009384155,0.5794613361358643,0.1,0,2
5,withfb1,base,0.17078864574432373,0.5712658166885376,0.1,0,3
6,withfb1,base,0.17319130897521973,0.5996533036231995,0.2,0,1
7,withfb1,base,0.17750602960586548,0.6088142991065979,0.2,0,2
8,withfb1,base,0.17459839582443237,0.598944902420044,0.2,0,3
9,withfb1,base,0.1844778209924698,0.6077566742897034,0.5,0,1
10,withfb1,base,0.19054867327213287,0.6133217215538025,0.5,0,2
11,withfb1,base,0.18798454105854034,0.6042057871818542,0.5,0,3
12,withfb1,base,0.22076164186000824,0.6009965538978577,1,0,1
13,withfb1,base,0.22568613290786743,0.6101680397987366,1,0,2
14,withfb1,base,0.22182488441467285,0.5951257348060608,1,0,3
15,withfb1,Full rec. method,0.18009577691555023,0.21089190244674683,0,0,0
16,withfb1,Full rec. method,0.186787948012352,0.7284276485443115,0.1,0,0
17,withfb1,Full rec. method,0.19220827519893646,0.6309869289398193,0.2,0,0
18,withfb1,Full rec. method,0.212008997797966,0.5987968444824219,0.5,0,0
19,withfb1,Full rec. method,0.2997104525566101,0.5948031544685364,1,0,0
20,withfb1,Full rec. method,0.17868155241012573,0.20924612879753113,0,0,1
21,withfb1,Full rec. method,0.1842842996120453,0.5749524235725403,0.1,0,1
22,withfb1,Full rec. method,0.1902809888124466,0.5973960757255554,0.2,0,1
23,withfb1,Full rec. method,0.2025478482246399,0.5991767048835754,0.5,0,1
24,withfb1,Full rec. method,0.24517804384231567,0.5887267589569092,1,0,1
25,withfb1,Full rec. method,0.19112151861190796,0.22276571393013,0,0,2
26,withfb1,Full rec. method,0.19610096514225006,0.5787533521652222,0.1,0,2
27,withfb1,Full rec. method,0.205769881606102,0.5993340611457825,0.2,0,2
28,withfb1,Full rec. method,0.24240048229694366,0.6000040769577026,0.5,0,2
29,withfb1,Full rec. method,0.36003074049949646,0.6023387312889099,1,0,2
30,withfb1,No sparsity,0.18077565729618073,0.2114843726158142,0,0,0
