,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.11499999463558197, 0.38999998569488525, 0.4099999964237213, 0.08500000089406967]",0
1,whisker,wS1,tensor(0.4851),"[0.35999998450279236, 0.14499999582767487, 0.39499998092651367, 0.09999999403953552]",0
2,delay,wS1,tensor(0.4950),"[0.3649999797344208, 0.14000000059604645, 0.38499999046325684, 0.10999999940395355]",0
3,response,wS1,tensor(0.1287),"[0.17999999225139618, 0.32499998807907104, 0.4749999940395355, 0.019999999552965164]",0
4,off,wS2,0,"[0.11499999463558197, 0.38999998569488525, 0.4099999964237213, 0.08500000089406967]",0
5,whisker,wS2,tensor(0.5248),"[0.3799999952316284, 0.125, 0.3999999761581421, 0.0949999988079071]",0
6,delay,wS2,tensor(0.0891),"[0.1599999964237213, 0.3449999988079071, 0.429999977350235, 0.06499999761581421]",0
7,response,wS2,tensor(0.1287),"[0.17999999225139618, 0.32499998807907104, 0.4399999976158142, 0.054999999701976776]",0
8,off,wM1,0,"[0.11499999463558197, 0.38999998569488525, 0.4099999964237213, 0.08500000089406967]",0
9,whisker,wM1,tensor(0.0396),"[0.13499999046325684, 0.3700000047683716, 0.4099999964237213, 0.08500000089406967]",0
10,delay,wM1,tensor(0.0297),"[0.12999999523162842, 0.375, 0.41499999165534973, 0.07999999821186066]",0
11,response,wM1,tensor(-0.0099),"[0.10999999940395355, 0.39499998092651367, 0.38499999046325684, 0.10999999940395355]",0
12,off,wM2,0,"[0.11499999463558197, 0.38999998569488525, 0.4099999964237213, 0.08500000089406967]",0
13,whisker,wM2,tensor(0.0891),"[0.1599999964237213, 0.3449999988079071, 0.38999998569488525, 0.10499999672174454]",0
14,delay,wM2,tensor(0.1089),"[0.17000000178813934, 0.3349999785423279, 0.3999999761581421, 0.0949999988079071]",0
15,response,wM2,tensor(-0.0099),"[0.10999999940395355, 0.39499998092651367, 0.3649999797344208, 0.12999999523162842]",0
16,off,ALM,0,"[0.11499999463558197, 0.38999998569488525, 0.4099999964237213, 0.08500000089406967]",0
17,whisker,ALM,tensor(0.0495),"[0.14000000059604645, 0.3649999797344208, 0.39499998092651367, 0.09999999403953552]",0
18,delay,ALM,tensor(0.3960),"[0.3149999976158142, 0.1899999976158142, 0.3999999761581421, 0.0949999988079071]",0
19,response,ALM,tensor(0.0198),"[0.125, 0.3799999952316284, 0.4050000011920929, 0.08999999612569809]",0
20,off,tjM1,0,"[0.11499999463558197, 0.38999998569488525, 0.4099999964237213, 0.08500000089406967]",0
21,whisker,tjM1,tensor(0.6535),"[0.4449999928474426, 0.05999999865889549, 0.39499998092651367, 0.09999999403953552]",0
22,delay,tjM1,tensor(0.6337),"[0.4350000023841858, 0.07000000029802322, 0.41499999165534973, 0.07999999821186066]",0
23,response,tjM1,tensor(0.6139),"[0.42499998211860657, 0.07999999821186066, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.1850000023841858, 0.3199999928474426, 0.41999998688697815, 0.07499999552965164]",1
25,whisker,wS1,tensor(0.4257),"[0.3999999761581421, 0.10499999672174454, 0.39499998092651367, 0.09999999403953552]",1
26,delay,wS1,tensor(0.3168),"[0.3449999988079071, 0.1599999964237213, 0.41999998688697815, 0.07499999552965164]",1
27,response,wS1,tensor(0.0297),"[0.19999998807907104, 0.3050000071525574, 0.45499998331069946, 0.03999999910593033]",1
28,off,wS2,0,"[0.1850000023841858, 0.3199999928474426, 0.41999998688697815, 0.07499999552965164]",1
29,whisker,wS2,tensor(0.3762),"[0.375, 0.12999999523162842, 0.4449999928474426, 0.04999999701976776]",1
30,delay,wS2,tensor(0.0693),"[0.2199999988079071, 0.2849999964237213, 0.41999998688697815, 0.07499999552965164]",1
31,response,wS2,tensor(0.0396),"[0.20499999821186066, 0.29999998211860657, 0.4350000023841858, 0.05999999865889549]",1
32,off,wM1,0,"[0.1850000023841858, 0.3199999928474426, 0.41999998688697815, 0.07499999552965164]",1
33,whisker,wM1,tensor(-0.0594),"[0.1550000011920929, 0.3499999940395355, 0.42499998211860657, 0.07000000029802322]",1
34,delay,wM1,tensor(0.0396),"[0.20499999821186066, 0.29999998211860657, 0.4099999964237213, 0.08500000089406967]",1
35,response,wM1,tensor(-0.0198),"[0.17499999701976776, 0.32999998331069946, 0.38999998569488525, 0.10499999672174454]",1
36,off,wM2,0,"[0.1850000023841858, 0.3199999928474426, 0.41999998688697815, 0.07499999552965164]",1
37,whisker,wM2,tensor(-0.0198),"[0.17499999701976776, 0.32999998331069946, 0.42499998211860657, 0.07000000029802322]",1
38,delay,wM2,tensor(0.0396),"[0.20499999821186066, 0.29999998211860657, 0.3999999761581421, 0.0949999988079071]",1
39,response,wM2,tensor(-0.0792),"[0.14499999582767487, 0.35999998450279236, 0.3400000035762787, 0.1550000011920929]",1
40,off,ALM,0,"[0.1850000023841858, 0.3199999928474426, 0.41999998688697815, 0.07499999552965164]",1
41,whisker,ALM,tensor(-0.0396),"[0.16499999165534973, 0.3400000035762787, 0.41999998688697815, 0.07499999552965164]",1
42,delay,ALM,tensor(0.3168),"[0.3449999988079071, 0.1599999964237213, 0.41999998688697815, 0.07499999552965164]",1
43,response,ALM,tensor(-0.0099),"[0.17999999225139618, 0.32499998807907104, 0.41499999165534973, 0.07999999821186066]",1
44,off,tjM1,0,"[0.1850000023841858, 0.3199999928474426, 0.41999998688697815, 0.07499999552965164]",1
45,whisker,tjM1,tensor(0.4851),"[0.429999977350235, 0.07499999552965164, 0.4399999976158142, 0.054999999701976776]",1
46,delay,tjM1,tensor(0.5149),"[0.4449999928474426, 0.05999999865889549, 0.41499999165534973, 0.07999999821186066]",1
47,response,tjM1,tensor(0.4752),"[0.42499998211860657, 0.07999999821186066, 0.4949999749660492, 0.0]",1
48,off,wS1,0,"[0.17999999225139618, 0.3100000023841858, 0.42499998211860657, 0.08500000089406967]",2
