,period,area,miss_diff,propabilities,session
37,whisker,wM2,tensor(-0.0396),"[0.3149999976158142, 0.1899999976158142, 0.3149999976158142, 0.17999999225139618]",1
38,delay,wM2,tensor(0.0792),"[0.375, 0.12999999523162842, 0.38499999046325684, 0.10999999940395355]",1
39,response,wM2,tensor(0.1683),"[0.41999998688697815, 0.08500000089406967, 0.45499998331069946, 0.03999999910593033]",1
40,off,ALM,0,"[0.3349999785423279, 0.17000000178813934, 0.3149999976158142, 0.17999999225139618]",1
41,whisker,ALM,tensor(-0.0099),"[0.32999998331069946, 0.17499999701976776, 0.3149999976158142, 0.17999999225139618]",1
42,delay,ALM,tensor(0.1089),"[0.38999998569488525, 0.11499999463558197, 0.3499999940395355, 0.14499999582767487]",1
43,response,ALM,tensor(0.3366),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",1
44,off,tjM1,0,"[0.3349999785423279, 0.17000000178813934, 0.3149999976158142, 0.17999999225139618]",1
45,whisker,tjM1,tensor(0.1089),"[0.38999998569488525, 0.11499999463558197, 0.3700000047683716, 0.125]",1
46,delay,tjM1,tensor(0.3267),"[0.5, 0.004999999888241291, 0.4949999749660492, 0.0]",1
47,response,tjM1,tensor(0.2970),"[0.48499998450279236, 0.019999999552965164, 0.48499998450279236, 0.009999999776482582]",1
48,off,wS1,0,"[0.3100000023841858, 0.17999999225139618, 0.32499998807907104, 0.1850000023841858]",2
49,whisker,wS1,tensor(0.0102),"[0.3149999976158142, 0.17499999701976776, 0.32499998807907104, 0.1850000023841858]",2
50,delay,wS1,tensor(0.),"[0.3100000023841858, 0.17999999225139618, 0.3449999988079071, 0.16499999165534973]",2
51,response,wS1,tensor(0.1633),"[0.38999998569488525, 0.09999999403953552, 0.3999999761581421, 0.10999999940395355]",2
52,off,wS2,0,"[0.3100000023841858, 0.17999999225139618, 0.32499998807907104, 0.1850000023841858]",2
53,whisker,wS2,tensor(0.0408),"[0.32999998331069946, 0.1599999964237213, 0.32499998807907104, 0.1850000023841858]",2
54,delay,wS2,tensor(0.),"[0.3100000023841858, 0.17999999225139618, 0.32999998331069946, 0.17999999225139618]",2
55,response,wS2,tensor(0.),"[0.3100000023841858, 0.17999999225139618, 0.3400000035762787, 0.17000000178813934]",2
56,off,wM1,0,"[0.3100000023841858, 0.17999999225139618, 0.32499998807907104, 0.1850000023841858]",2
57,whisker,wM1,tensor(0.),"[0.3100000023841858, 0.17999999225139618, 0.32499998807907104, 0.1850000023841858]",2
58,delay,wM1,tensor(0.),"[0.3100000023841858, 0.17999999225139618, 0.32999998331069946, 0.17999999225139618]",2
59,response,wM1,tensor(0.),"[0.3100000023841858, 0.17999999225139618, 0.32999998331069946, 0.17999999225139618]",2
60,off,wM2,0,"[0.3100000023841858, 0.17999999225139618, 0.32499998807907104, 0.1850000023841858]",2
61,whisker,wM2,tensor(0.0102),"[0.3149999976158142, 0.17499999701976776, 0.32499998807907104, 0.1850000023841858]",2
62,delay,wM2,tensor(0.1429),"[0.3799999952316284, 0.10999999940395355, 0.4350000023841858, 0.07499999552965164]",2
63,response,wM2,tensor(0.2551),"[0.4350000023841858, 0.054999999701976776, 0.4749999940395355, 0.03500000014901161]",2
64,off,ALM,0,"[0.3100000023841858, 0.17999999225139618, 0.32499998807907104, 0.1850000023841858]",2
65,whisker,ALM,tensor(0.),"[0.3100000023841858, 0.17999999225139618, 0.32499998807907104, 0.1850000023841858]",2
66,delay,ALM,tensor(0.1122),"[0.3649999797344208, 0.125, 0.375, 0.13499999046325684]",2
67,response,ALM,tensor(0.3673),"[0.4899999797344208, 0.0, 0.5099999904632568, 0.0]",2
68,off,tjM1,0,"[0.3100000023841858, 0.17999999225139618, 0.32499998807907104, 0.1850000023841858]",2
69,whisker,tjM1,tensor(0.1939),"[0.4050000011920929, 0.08500000089406967, 0.3499999940395355, 0.1599999964237213]",2
70,delay,tjM1,tensor(0.3571),"[0.48499998450279236, 0.004999999888241291, 0.5099999904632568, 0.0]",2
71,response,tjM1,tensor(0.3571),"[0.48499998450279236, 0.004999999888241291, 0.5049999952316284, 0.004999999888241291]",2
