,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.19499999284744263, 0.3100000023841858, 0.4899999797344208, 0.004999999888241291]",0
1,whisker,wS1,tensor(0.0792),"[0.23499999940395355, 0.26999998092651367, 0.4949999749660492, 0.0]",0
2,delay,wS1,tensor(0.4752),"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",0
3,response,wS1,tensor(0.0792),"[0.23499999940395355, 0.26999998092651367, 0.47999998927116394, 0.014999999664723873]",0
4,off,wS2,0,"[0.19499999284744263, 0.3100000023841858, 0.4899999797344208, 0.004999999888241291]",0
5,whisker,wS2,tensor(-0.0495),"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",0
6,delay,wS2,tensor(0.3267),"[0.35999998450279236, 0.14499999582767487, 0.4949999749660492, 0.0]",0
7,response,wS2,tensor(0.4158),"[0.4050000011920929, 0.09999999403953552, 0.4949999749660492, 0.0]",0
8,off,wM1,0,"[0.19499999284744263, 0.3100000023841858, 0.4899999797344208, 0.004999999888241291]",0
9,whisker,wM1,tensor(0.0297),"[0.20999999344348907, 0.29499998688697815, 0.4949999749660492, 0.0]",0
10,delay,wM1,tensor(0.4455),"[0.41999998688697815, 0.08500000089406967, 0.4949999749660492, 0.0]",0
11,response,wM1,tensor(-0.0693),"[0.1599999964237213, 0.3449999988079071, 0.48499998450279236, 0.009999999776482582]",0
12,off,wM2,0,"[0.19499999284744263, 0.3100000023841858, 0.4899999797344208, 0.004999999888241291]",0
13,whisker,wM2,tensor(0.0792),"[0.23499999940395355, 0.26999998092651367, 0.4899999797344208, 0.004999999888241291]",0
14,delay,wM2,tensor(0.5545),"[0.4749999940395355, 0.029999999329447746, 0.4899999797344208, 0.004999999888241291]",0
15,response,wM2,tensor(0.1881),"[0.28999999165534973, 0.2149999886751175, 0.4949999749660492, 0.0]",0
16,off,ALM,0,"[0.19499999284744263, 0.3100000023841858, 0.4899999797344208, 0.004999999888241291]",0
17,whisker,ALM,tensor(0.1683),"[0.2800000011920929, 0.22499999403953552, 0.4949999749660492, 0.0]",0
18,delay,ALM,tensor(0.4752),"[0.4350000023841858, 0.07000000029802322, 0.4949999749660492, 0.0]",0
19,response,ALM,tensor(0.),"[0.19499999284744263, 0.3100000023841858, 0.4949999749660492, 0.0]",0
20,off,tjM1,0,"[0.19499999284744263, 0.3100000023841858, 0.4899999797344208, 0.004999999888241291]",0
21,whisker,tjM1,tensor(0.6139),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",0
22,delay,tjM1,tensor(0.6040),"[0.5, 0.004999999888241291, 0.4899999797344208, 0.004999999888241291]",0
23,response,tjM1,tensor(0.4851),"[0.4399999976158142, 0.06499999761581421, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",1
25,whisker,wS1,tensor(0.),"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",1
26,delay,wS1,tensor(0.5446),"[0.4599999785423279, 0.044999998062849045, 0.47999998927116394, 0.014999999664723873]",1
27,response,wS1,tensor(0.0594),"[0.2149999886751175, 0.28999999165534973, 0.4949999749660492, 0.0]",1
28,off,wS2,0,"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",1
29,whisker,wS2,tensor(0.0198),"[0.19499999284744263, 0.3100000023841858, 0.4949999749660492, 0.0]",1
30,delay,wS2,tensor(0.2970),"[0.3349999785423279, 0.17000000178813934, 0.47999998927116394, 0.014999999664723873]",1
31,response,wS2,tensor(0.3960),"[0.38499999046325684, 0.11999999731779099, 0.4949999749660492, 0.0]",1
32,off,wM1,0,"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",1
33,whisker,wM1,tensor(0.0792),"[0.22499999403953552, 0.2800000011920929, 0.4899999797344208, 0.004999999888241291]",1
34,delay,wM1,tensor(0.3960),"[0.38499999046325684, 0.11999999731779099, 0.4949999749660492, 0.0]",1
35,response,wM1,tensor(-0.0891),"[0.14000000059604645, 0.3649999797344208, 0.4899999797344208, 0.004999999888241291]",1
36,off,wM2,0,"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",1
37,whisker,wM2,tensor(0.0693),"[0.2199999988079071, 0.2849999964237213, 0.4949999749660492, 0.0]",1
38,delay,wM2,tensor(0.6040),"[0.4899999797344208, 0.014999999664723873, 0.4899999797344208, 0.004999999888241291]",1
39,response,wM2,tensor(0.0990),"[0.23499999940395355, 0.26999998092651367, 0.4949999749660492, 0.0]",1
40,off,ALM,0,"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",1
41,whisker,ALM,tensor(0.1287),"[0.25, 0.2549999952316284, 0.4949999749660492, 0.0]",1
42,delay,ALM,tensor(0.3960),"[0.38499999046325684, 0.11999999731779099, 0.4949999749660492, 0.0]",1
43,response,ALM,tensor(-0.0198),"[0.17499999701976776, 0.32999998331069946, 0.4949999749660492, 0.0]",1
44,off,tjM1,0,"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",1
45,whisker,tjM1,tensor(0.6337),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",1
46,delay,tjM1,tensor(0.6337),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",1
47,response,tjM1,tensor(0.4653),"[0.41999998688697815, 0.08500000089406967, 0.4949999749660492, 0.0]",1
48,off,wS1,0,"[0.19999998807907104, 0.28999999165534973, 0.5099999904632568, 0.0]",2
49,whisker,wS1,tensor(-0.0102),"[0.19499999284744263, 0.29499998688697815, 0.5099999904632568, 0.0]",2
50,delay,wS1,tensor(0.4796),"[0.4350000023841858, 0.054999999701976776, 0.5099999904632568, 0.0]",2
51,response,wS1,tensor(0.0714),"[0.23499999940395355, 0.2549999952316284, 0.5049999952316284, 0.004999999888241291]",2
52,off,wS2,0,"[0.19999998807907104, 0.28999999165534973, 0.5099999904632568, 0.0]",2
53,whisker,wS2,tensor(-0.1020),"[0.14999999105930328, 0.3400000035762787, 0.5099999904632568, 0.0]",2
54,delay,wS2,tensor(0.3469),"[0.3700000047683716, 0.11999999731779099, 0.5049999952316284, 0.004999999888241291]",2
