,period,area,miss_diff,propabilities,session
25,whisker,wS1,tensor(-0.0198),"[0.12999999523162842, 0.375, 0.4650000035762787, 0.029999999329447746]",1
26,delay,wS1,tensor(0.4059),"[0.3449999988079071, 0.1599999964237213, 0.4699999988079071, 0.02499999850988388]",1
27,response,wS1,tensor(0.1089),"[0.19499999284744263, 0.3100000023841858, 0.48499998450279236, 0.009999999776482582]",1
28,off,wS2,0,"[0.14000000059604645, 0.3649999797344208, 0.4650000035762787, 0.029999999329447746]",1
29,whisker,wS2,tensor(-0.0990),"[0.08999999612569809, 0.41499999165534973, 0.45499998331069946, 0.03999999910593033]",1
30,delay,wS2,tensor(0.5050),"[0.39499998092651367, 0.10999999940395355, 0.45499998331069946, 0.03999999910593033]",1
31,response,wS2,tensor(0.0891),"[0.1850000023841858, 0.3199999928474426, 0.4599999785423279, 0.03500000014901161]",1
32,off,wM1,0,"[0.14000000059604645, 0.3649999797344208, 0.4650000035762787, 0.029999999329447746]",1
33,whisker,wM1,tensor(0.1485),"[0.2149999886751175, 0.28999999165534973, 0.4399999976158142, 0.054999999701976776]",1
34,delay,wM1,tensor(0.4158),"[0.3499999940395355, 0.1550000011920929, 0.44999998807907104, 0.044999998062849045]",1
35,response,wM1,tensor(0.0792),"[0.17999999225139618, 0.32499998807907104, 0.4699999988079071, 0.02499999850988388]",1
36,off,wM2,0,"[0.14000000059604645, 0.3649999797344208, 0.4650000035762787, 0.029999999329447746]",1
37,whisker,wM2,tensor(0.0693),"[0.17499999701976776, 0.32999998331069946, 0.44999998807907104, 0.044999998062849045]",1
38,delay,wM2,tensor(0.3762),"[0.32999998331069946, 0.17499999701976776, 0.41999998688697815, 0.07499999552965164]",1
39,response,wM2,tensor(0.0693),"[0.17499999701976776, 0.32999998331069946, 0.4599999785423279, 0.03500000014901161]",1
40,off,ALM,0,"[0.14000000059604645, 0.3649999797344208, 0.4650000035762787, 0.029999999329447746]",1
41,whisker,ALM,tensor(0.3465),"[0.3149999976158142, 0.1899999976158142, 0.4749999940395355, 0.019999999552965164]",1
42,delay,ALM,tensor(0.5941),"[0.4399999976158142, 0.06499999761581421, 0.44999998807907104, 0.044999998062849045]",1
43,response,ALM,tensor(0.0297),"[0.1550000011920929, 0.3499999940395355, 0.4749999940395355, 0.019999999552965164]",1
44,off,tjM1,0,"[0.14000000059604645, 0.3649999797344208, 0.4650000035762787, 0.029999999329447746]",1
45,whisker,tjM1,tensor(0.3960),"[0.3400000035762787, 0.16499999165534973, 0.4650000035762787, 0.029999999329447746]",1
46,delay,tjM1,tensor(0.2772),"[0.2800000011920929, 0.22499999403953552, 0.4399999976158142, 0.054999999701976776]",1
47,response,tjM1,tensor(0.2079),"[0.2449999898672104, 0.25999999046325684, 0.4949999749660492, 0.0]",1
48,off,wS1,0,"[0.17999999225139618, 0.3100000023841858, 0.4749999940395355, 0.03500000014901161]",2
49,whisker,wS1,tensor(0.1020),"[0.22999998927116394, 0.25999999046325684, 0.4449999928474426, 0.06499999761581421]",2
50,delay,wS1,tensor(0.3469),"[0.3499999940395355, 0.14000000059604645, 0.4449999928474426, 0.06499999761581421]",2
51,response,wS1,tensor(-0.0408),"[0.1599999964237213, 0.32999998331069946, 0.4749999940395355, 0.03500000014901161]",2
52,off,wS2,0,"[0.17999999225139618, 0.3100000023841858, 0.4749999940395355, 0.03500000014901161]",2
53,whisker,wS2,tensor(-0.1735),"[0.0949999988079071, 0.39499998092651367, 0.48499998450279236, 0.02499999850988388]",2
54,delay,wS2,tensor(0.3878),"[0.3700000047683716, 0.11999999731779099, 0.45499998331069946, 0.054999999701976776]",2
55,response,wS2,tensor(0.0204),"[0.1899999976158142, 0.29999998211860657, 0.4749999940395355, 0.03500000014901161]",2
56,off,wM1,0,"[0.17999999225139618, 0.3100000023841858, 0.4749999940395355, 0.03500000014901161]",2
57,whisker,wM1,tensor(0.0204),"[0.1899999976158142, 0.29999998211860657, 0.4449999928474426, 0.06499999761581421]",2
58,delay,wM1,tensor(0.2959),"[0.32499998807907104, 0.16499999165534973, 0.4449999928474426, 0.06499999761581421]",2
59,response,wM1,tensor(0.0510),"[0.20499999821186066, 0.2849999964237213, 0.4749999940395355, 0.03500000014901161]",2
60,off,wM2,0,"[0.17999999225139618, 0.3100000023841858, 0.4749999940395355, 0.03500000014901161]",2
61,whisker,wM2,tensor(0.1020),"[0.22999998927116394, 0.25999999046325684, 0.4650000035762787, 0.044999998062849045]",2
62,delay,wM2,tensor(0.3469),"[0.3499999940395355, 0.14000000059604645, 0.4650000035762787, 0.044999998062849045]",2
63,response,wM2,tensor(0.0510),"[0.20499999821186066, 0.2849999964237213, 0.4599999785423279, 0.04999999701976776]",2
64,off,ALM,0,"[0.17999999225139618, 0.3100000023841858, 0.4749999940395355, 0.03500000014901161]",2
65,whisker,ALM,tensor(0.3265),"[0.3400000035762787, 0.14999999105930328, 0.4650000035762787, 0.044999998062849045]",2
66,delay,ALM,tensor(0.5306),"[0.4399999976158142, 0.04999999701976776, 0.4599999785423279, 0.04999999701976776]",2
67,response,ALM,tensor(0.0102),"[0.1850000023841858, 0.3050000071525574, 0.4899999797344208, 0.019999999552965164]",2
68,off,tjM1,0,"[0.17999999225139618, 0.3100000023841858, 0.4749999940395355, 0.03500000014901161]",2
69,whisker,tjM1,tensor(0.4184),"[0.38499999046325684, 0.10499999672174454, 0.4449999928474426, 0.06499999761581421]",2
70,delay,tjM1,tensor(0.1735),"[0.26499998569488525, 0.22499999403953552, 0.4449999928474426, 0.06499999761581421]",2
71,response,tjM1,tensor(0.0816),"[0.2199999988079071, 0.26999998092651367, 0.5, 0.009999999776482582]",2
72,off,wS1,0,"[0.12999999523162842, 0.32999998331069946, 0.4599999785423279, 0.07999999821186066]",3
73,whisker,wS1,tensor(0.0543),"[0.1550000011920929, 0.3050000071525574, 0.4949999749660492, 0.044999998062849045]",3
74,delay,wS1,tensor(0.3478),"[0.28999999165534973, 0.17000000178813934, 0.4650000035762787, 0.07499999552965164]",3
75,response,wS1,tensor(0.0217),"[0.14000000059604645, 0.3199999928474426, 0.5, 0.03999999910593033]",3
76,off,wS2,0,"[0.12999999523162842, 0.32999998331069946, 0.4599999785423279, 0.07999999821186066]",3
77,whisker,wS2,tensor(0.0217),"[0.14000000059604645, 0.3199999928474426, 0.47999998927116394, 0.05999999865889549]",3
78,delay,wS2,tensor(0.5109),"[0.3649999797344208, 0.0949999988079071, 0.47999998927116394, 0.05999999865889549]",3
79,response,wS2,tensor(0.),"[0.12999999523162842, 0.32999998331069946, 0.5149999856948853, 0.02499999850988388]",3
80,off,wM1,0,"[0.12999999523162842, 0.32999998331069946, 0.4599999785423279, 0.07999999821186066]",3
81,whisker,wM1,tensor(0.0978),"[0.17499999701976776, 0.2849999964237213, 0.4699999988079071, 0.07000000029802322]",3
82,delay,wM1,tensor(0.3913),"[0.3100000023841858, 0.14999999105930328, 0.4699999988079071, 0.07000000029802322]",3
83,response,wM1,tensor(0.0109),"[0.13499999046325684, 0.32499998807907104, 0.5099999904632568, 0.029999999329447746]",3
84,off,wM2,0,"[0.12999999523162842, 0.32999998331069946, 0.4599999785423279, 0.07999999821186066]",3
85,whisker,wM2,tensor(0.1630),"[0.20499999821186066, 0.2549999952316284, 0.5049999952316284, 0.03500000014901161]",3
86,delay,wM2,tensor(0.3587),"[0.29499998688697815, 0.16499999165534973, 0.48499998450279236, 0.054999999701976776]",3
87,response,wM2,tensor(0.0109),"[0.13499999046325684, 0.32499998807907104, 0.48499998450279236, 0.054999999701976776]",3
88,off,ALM,0,"[0.12999999523162842, 0.32999998331069946, 0.4599999785423279, 0.07999999821186066]",3
89,whisker,ALM,tensor(0.2826),"[0.25999999046325684, 0.19999998807907104, 0.4899999797344208, 0.04999999701976776]",3
90,delay,ALM,tensor(0.6087),"[0.4099999964237213, 0.04999999701976776, 0.4599999785423279, 0.07999999821186066]",3
91,response,ALM,tensor(0.0217),"[0.14000000059604645, 0.3199999928474426, 0.5049999952316284, 0.03500000014901161]",3
92,off,tjM1,0,"[0.12999999523162842, 0.32999998331069946, 0.4599999785423279, 0.07999999821186066]",3
93,whisker,tjM1,tensor(0.3804),"[0.3050000071525574, 0.1550000011920929, 0.47999998927116394, 0.05999999865889549]",3
94,delay,tjM1,tensor(0.3152),"[0.2750000059604645, 0.1850000023841858, 0.44999998807907104, 0.08999999612569809]",3
95,response,tjM1,tensor(0.0870),"[0.17000000178813934, 0.28999999165534973, 0.5299999713897705, 0.009999999776482582]",3
96,off,wS1,0,"[0.2149999886751175, 0.26999998092651367, 0.4399999976158142, 0.07499999552965164]",4
97,whisker,wS1,tensor(-0.0825),"[0.17499999701976776, 0.3100000023841858, 0.4599999785423279, 0.054999999701976776]",4
98,delay,wS1,tensor(0.2062),"[0.3149999976158142, 0.17000000178813934, 0.4350000023841858, 0.07999999821186066]",4
99,response,wS1,tensor(0.0309),"[0.22999998927116394, 0.2549999952316284, 0.4749999940395355, 0.03999999910593033]",4
100,off,wS2,0,"[0.2149999886751175, 0.26999998092651367, 0.4399999976158142, 0.07499999552965164]",4
101,whisker,wS2,tensor(-0.2680),"[0.08500000089406967, 0.3999999761581421, 0.44999998807907104, 0.06499999761581421]",4
102,delay,wS2,tensor(0.3711),"[0.39499998092651367, 0.08999999612569809, 0.4449999928474426, 0.07000000029802322]",4
103,response,wS2,tensor(0.0103),"[0.2199999988079071, 0.26499998569488525, 0.4749999940395355, 0.03999999910593033]",4
104,off,wM1,0,"[0.2149999886751175, 0.26999998092651367, 0.4399999976158142, 0.07499999552965164]",4
105,whisker,wM1,tensor(0.0515),"[0.23999999463558197, 0.2449999898672104, 0.4599999785423279, 0.054999999701976776]",4
106,delay,wM1,tensor(0.3299),"[0.375, 0.10999999940395355, 0.42499998211860657, 0.08999999612569809]",4
107,response,wM1,tensor(0.0206),"[0.22499999403953552, 0.25999999046325684, 0.45499998331069946, 0.05999999865889549]",4
108,off,wM2,0,"[0.2149999886751175, 0.26999998092651367, 0.4399999976158142, 0.07499999552965164]",4
109,whisker,wM2,tensor(-0.1340),"[0.14999999105930328, 0.3349999785423279, 0.4699999988079071, 0.044999998062849045]",4
110,delay,wM2,tensor(0.2062),"[0.3149999976158142, 0.17000000178813934, 0.4449999928474426, 0.07000000029802322]",4
111,response,wM2,tensor(0.),"[0.2149999886751175, 0.26999998092651367, 0.4599999785423279, 0.054999999701976776]",4
112,off,ALM,0,"[0.2149999886751175, 0.26999998092651367, 0.4399999976158142, 0.07499999552965164]",4
113,whisker,ALM,tensor(0.1443),"[0.2849999964237213, 0.19999998807907104, 0.4749999940395355, 0.03999999910593033]",4
114,delay,ALM,tensor(0.4227),"[0.41999998688697815, 0.06499999761581421, 0.429999977350235, 0.08500000089406967]",4
115,response,ALM,tensor(0.),"[0.2149999886751175, 0.26999998092651367, 0.5, 0.014999999664723873]",4
116,off,tjM1,0,"[0.2149999886751175, 0.26999998092651367, 0.4399999976158142, 0.07499999552965164]",4
117,whisker,tjM1,tensor(0.3093),"[0.3649999797344208, 0.11999999731779099, 0.4399999976158142, 0.07499999552965164]",4
118,delay,tjM1,tensor(0.2062),"[0.3149999976158142, 0.17000000178813934, 0.4449999928474426, 0.07000000029802322]",4
119,response,tjM1,tensor(0.0515),"[0.23999999463558197, 0.2449999898672104, 0.5049999952316284, 0.009999999776482582]",4
