,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.1850000023841858, 0.3199999928474426, 0.4599999785423279, 0.03500000014901161]",0
1,whisker,wS1,tensor(-0.0693),"[0.14999999105930328, 0.35499998927116394, 0.4650000035762787, 0.029999999329447746]",0
2,delay,wS1,tensor(0.2376),"[0.3050000071525574, 0.19999998807907104, 0.4399999976158142, 0.054999999701976776]",0
3,response,wS1,tensor(0.0396),"[0.20499999821186066, 0.29999998211860657, 0.4699999988079071, 0.02499999850988388]",0
4,off,wS2,0,"[0.1850000023841858, 0.3199999928474426, 0.4599999785423279, 0.03500000014901161]",0
5,whisker,wS2,tensor(-0.1386),"[0.11499999463558197, 0.38999998569488525, 0.45499998331069946, 0.03999999910593033]",0
6,delay,wS2,tensor(0.3861),"[0.3799999952316284, 0.125, 0.44999998807907104, 0.044999998062849045]",0
7,response,wS2,tensor(0.0099),"[0.1899999976158142, 0.3149999976158142, 0.4699999988079071, 0.02499999850988388]",0
8,off,wM1,0,"[0.1850000023841858, 0.3199999928474426, 0.4599999785423279, 0.03500000014901161]",0
9,whisker,wM1,tensor(0.0198),"[0.19499999284744263, 0.3100000023841858, 0.45499998331069946, 0.03999999910593033]",0
10,delay,wM1,tensor(0.4059),"[0.38999998569488525, 0.11499999463558197, 0.44999998807907104, 0.044999998062849045]",0
11,response,wM1,tensor(0.0198),"[0.19499999284744263, 0.3100000023841858, 0.4699999988079071, 0.02499999850988388]",0
12,off,wM2,0,"[0.1850000023841858, 0.3199999928474426, 0.4599999785423279, 0.03500000014901161]",0
13,whisker,wM2,tensor(0.1188),"[0.2449999898672104, 0.25999999046325684, 0.45499998331069946, 0.03999999910593033]",0
14,delay,wM2,tensor(0.2574),"[0.3149999976158142, 0.1899999976158142, 0.4650000035762787, 0.029999999329447746]",0
15,response,wM2,tensor(-0.0198),"[0.17499999701976776, 0.32999998331069946, 0.44999998807907104, 0.044999998062849045]",0
16,off,ALM,0,"[0.1850000023841858, 0.3199999928474426, 0.4599999785423279, 0.03500000014901161]",0
17,whisker,ALM,tensor(0.2475),"[0.3100000023841858, 0.19499999284744263, 0.48499998450279236, 0.009999999776482582]",0
18,delay,ALM,tensor(0.5149),"[0.4449999928474426, 0.05999999865889549, 0.4449999928474426, 0.04999999701976776]",0
19,response,ALM,tensor(0.0099),"[0.1899999976158142, 0.3149999976158142, 0.4699999988079071, 0.02499999850988388]",0
20,off,tjM1,0,"[0.1850000023841858, 0.3199999928474426, 0.4599999785423279, 0.03500000014901161]",0
21,whisker,tjM1,tensor(0.4356),"[0.4050000011920929, 0.09999999403953552, 0.4449999928474426, 0.04999999701976776]",0
22,delay,tjM1,tensor(0.2376),"[0.3050000071525574, 0.19999998807907104, 0.4350000023841858, 0.05999999865889549]",0
23,response,tjM1,tensor(0.0891),"[0.22999998927116394, 0.2750000059604645, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.14000000059604645, 0.3649999797344208, 0.4650000035762787, 0.029999999329447746]",1
