,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.23499999940395355, 0.26999998092651367, 0.3700000047683716, 0.125]",0
1,whisker,wS1,tensor(0.0297),"[0.25, 0.2549999952316284, 0.3799999952316284, 0.11499999463558197]",0
2,delay,wS1,tensor(-0.0198),"[0.22499999403953552, 0.2800000011920929, 0.375, 0.11999999731779099]",0
3,response,wS1,tensor(-0.0099),"[0.22999998927116394, 0.2750000059604645, 0.38999998569488525, 0.10499999672174454]",0
4,off,wS2,0,"[0.23499999940395355, 0.26999998092651367, 0.3700000047683716, 0.125]",0
5,whisker,wS2,tensor(0.2475),"[0.35999998450279236, 0.14499999582767487, 0.38499999046325684, 0.10999999940395355]",0
6,delay,wS2,tensor(-0.0198),"[0.22499999403953552, 0.2800000011920929, 0.3499999940395355, 0.14499999582767487]",0
7,response,wS2,tensor(-0.0099),"[0.22999998927116394, 0.2750000059604645, 0.375, 0.11999999731779099]",0
8,off,wM1,0,"[0.23499999940395355, 0.26999998092651367, 0.3700000047683716, 0.125]",0
9,whisker,wM1,tensor(-0.0693),"[0.19999998807907104, 0.3050000071525574, 0.3799999952316284, 0.11499999463558197]",0
10,delay,wM1,tensor(0.4950),"[0.48499998450279236, 0.019999999552965164, 0.375, 0.11999999731779099]",0
11,response,wM1,tensor(-0.0099),"[0.22999998927116394, 0.2750000059604645, 0.3999999761581421, 0.0949999988079071]",0
12,off,wM2,0,"[0.23499999940395355, 0.26999998092651367, 0.3700000047683716, 0.125]",0
13,whisker,wM2,tensor(-0.0792),"[0.19499999284744263, 0.3100000023841858, 0.35499998927116394, 0.14000000059604645]",0
14,delay,wM2,tensor(0.4752),"[0.4749999940395355, 0.029999999329447746, 0.3999999761581421, 0.0949999988079071]",0
15,response,wM2,tensor(0.0297),"[0.25, 0.2549999952316284, 0.38499999046325684, 0.10999999940395355]",0
16,off,ALM,0,"[0.23499999940395355, 0.26999998092651367, 0.3700000047683716, 0.125]",0
17,whisker,ALM,tensor(0.2772),"[0.375, 0.12999999523162842, 0.35999998450279236, 0.13499999046325684]",0
18,delay,ALM,tensor(0.2178),"[0.3449999988079071, 0.1599999964237213, 0.375, 0.11999999731779099]",0
19,response,ALM,tensor(-0.0099),"[0.22999998927116394, 0.2750000059604645, 0.3649999797344208, 0.12999999523162842]",0
