,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",0
1,whisker,wS1,tensor(-0.2079),"[0.32999998331069946, 0.17499999701976776, 0.4749999940395355, 0.019999999552965164]",0
2,delay,wS1,tensor(-0.0891),"[0.38999998569488525, 0.11499999463558197, 0.4650000035762787, 0.029999999329447746]",0
3,response,wS1,tensor(0.0693),"[0.4699999988079071, 0.03500000014901161, 0.4899999797344208, 0.004999999888241291]",0
4,off,wS2,0,"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",0
5,whisker,wS2,tensor(-0.1584),"[0.35499998927116394, 0.14999999105930328, 0.48499998450279236, 0.009999999776482582]",0
6,delay,wS2,tensor(0.0396),"[0.45499998331069946, 0.04999999701976776, 0.4749999940395355, 0.019999999552965164]",0
7,response,wS2,tensor(0.0594),"[0.4650000035762787, 0.03999999910593033, 0.4899999797344208, 0.004999999888241291]",0
8,off,wM1,0,"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",0
9,whisker,wM1,tensor(-0.0396),"[0.41499999165534973, 0.08999999612569809, 0.4749999940395355, 0.019999999552965164]",0
10,delay,wM1,tensor(-0.1287),"[0.3700000047683716, 0.13499999046325684, 0.4699999988079071, 0.02499999850988388]",0
11,response,wM1,tensor(0.),"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",0
12,off,wM2,0,"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",0
13,whisker,wM2,tensor(-0.0990),"[0.38499999046325684, 0.11999999731779099, 0.4899999797344208, 0.004999999888241291]",0
14,delay,wM2,tensor(0.0594),"[0.4650000035762787, 0.03999999910593033, 0.4949999749660492, 0.0]",0
15,response,wM2,tensor(0.0990),"[0.48499998450279236, 0.019999999552965164, 0.4949999749660492, 0.0]",0
16,off,ALM,0,"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",0
17,whisker,ALM,tensor(-0.0594),"[0.4050000011920929, 0.09999999403953552, 0.4899999797344208, 0.004999999888241291]",0
18,delay,ALM,tensor(0.0297),"[0.44999998807907104, 0.054999999701976776, 0.4749999940395355, 0.019999999552965164]",0
19,response,ALM,tensor(-0.0099),"[0.429999977350235, 0.07499999552965164, 0.4949999749660492, 0.0]",0
20,off,tjM1,0,"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",0
21,whisker,tjM1,tensor(0.1287),"[0.5, 0.004999999888241291, 0.4899999797344208, 0.004999999888241291]",0
22,delay,tjM1,tensor(0.1386),"[0.5049999952316284, 0.0, 0.48499998450279236, 0.009999999776482582]",0
23,response,tjM1,tensor(0.1386),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.41999998688697815, 0.08500000089406967, 0.48499998450279236, 0.009999999776482582]",1
25,whisker,wS1,tensor(-0.0594),"[0.38999998569488525, 0.11499999463558197, 0.47999998927116394, 0.014999999664723873]",1
26,delay,wS1,tensor(-0.0990),"[0.3700000047683716, 0.13499999046325684, 0.45499998331069946, 0.03999999910593033]",1
27,response,wS1,tensor(0.0594),"[0.44999998807907104, 0.054999999701976776, 0.4949999749660492, 0.0]",1
28,off,wS2,0,"[0.41999998688697815, 0.08500000089406967, 0.48499998450279236, 0.009999999776482582]",1
29,whisker,wS2,tensor(-0.1782),"[0.32999998331069946, 0.17499999701976776, 0.4749999940395355, 0.019999999552965164]",1
30,delay,wS2,tensor(0.0693),"[0.45499998331069946, 0.04999999701976776, 0.47999998927116394, 0.014999999664723873]",1
31,response,wS2,tensor(0.0396),"[0.4399999976158142, 0.06499999761581421, 0.4949999749660492, 0.0]",1
32,off,wM1,0,"[0.41999998688697815, 0.08500000089406967, 0.48499998450279236, 0.009999999776482582]",1
33,whisker,wM1,tensor(-0.0693),"[0.38499999046325684, 0.11999999731779099, 0.48499998450279236, 0.009999999776482582]",1
34,delay,wM1,tensor(-0.1485),"[0.3449999988079071, 0.1599999964237213, 0.4699999988079071, 0.02499999850988388]",1
35,response,wM1,tensor(0.0297),"[0.4350000023841858, 0.07000000029802322, 0.4899999797344208, 0.004999999888241291]",1
36,off,wM2,0,"[0.41999998688697815, 0.08500000089406967, 0.48499998450279236, 0.009999999776482582]",1
37,whisker,wM2,tensor(-0.0594),"[0.38999998569488525, 0.11499999463558197, 0.4899999797344208, 0.004999999888241291]",1
38,delay,wM2,tensor(0.1485),"[0.4949999749660492, 0.009999999776482582, 0.48499998450279236, 0.009999999776482582]",1
39,response,wM2,tensor(0.1287),"[0.48499998450279236, 0.019999999552965164, 0.4949999749660492, 0.0]",1
40,off,ALM,0,"[0.41999998688697815, 0.08500000089406967, 0.48499998450279236, 0.009999999776482582]",1
41,whisker,ALM,tensor(-0.0792),"[0.3799999952316284, 0.125, 0.48499998450279236, 0.009999999776482582]",1
42,delay,ALM,tensor(0.0792),"[0.4599999785423279, 0.044999998062849045, 0.47999998927116394, 0.014999999664723873]",1
43,response,ALM,tensor(0.0495),"[0.4449999928474426, 0.05999999865889549, 0.4949999749660492, 0.0]",1
