,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.20499999821186066, 0.29999998211860657, 0.4399999976158142, 0.054999999701976776]",0
1,whisker,wS1,tensor(-0.0594),"[0.17499999701976776, 0.32999998331069946, 0.429999977350235, 0.06499999761581421]",0
2,delay,wS1,tensor(0.5248),"[0.4699999988079071, 0.03500000014901161, 0.4449999928474426, 0.04999999701976776]",0
3,response,wS1,tensor(0.0396),"[0.22499999403953552, 0.2800000011920929, 0.4599999785423279, 0.03500000014901161]",0
4,off,wS2,0,"[0.20499999821186066, 0.29999998211860657, 0.4399999976158142, 0.054999999701976776]",0
5,whisker,wS2,tensor(0.0099),"[0.20999999344348907, 0.29499998688697815, 0.41999998688697815, 0.07499999552965164]",0
6,delay,wS2,tensor(0.4950),"[0.45499998331069946, 0.04999999701976776, 0.4449999928474426, 0.04999999701976776]",0
7,response,wS2,tensor(0.3069),"[0.35999998450279236, 0.14499999582767487, 0.4949999749660492, 0.0]",0
8,off,wM1,0,"[0.20499999821186066, 0.29999998211860657, 0.4399999976158142, 0.054999999701976776]",0
9,whisker,wM1,tensor(0.0990),"[0.2549999952316284, 0.25, 0.4099999964237213, 0.08500000089406967]",0
10,delay,wM1,tensor(0.4653),"[0.4399999976158142, 0.06499999761581421, 0.4050000011920929, 0.08999999612569809]",0
11,response,wM1,tensor(0.2772),"[0.3449999988079071, 0.1599999964237213, 0.48499998450279236, 0.009999999776482582]",0
12,off,wM2,0,"[0.20499999821186066, 0.29999998211860657, 0.4399999976158142, 0.054999999701976776]",0
13,whisker,wM2,tensor(0.2475),"[0.32999998331069946, 0.17499999701976776, 0.45499998331069946, 0.03999999910593033]",0
14,delay,wM2,tensor(0.5446),"[0.47999998927116394, 0.02499999850988388, 0.42499998211860657, 0.07000000029802322]",0
15,response,wM2,tensor(0.0396),"[0.22499999403953552, 0.2800000011920929, 0.4650000035762787, 0.029999999329447746]",0
16,off,ALM,0,"[0.20499999821186066, 0.29999998211860657, 0.4399999976158142, 0.054999999701976776]",0
17,whisker,ALM,tensor(0.1683),"[0.28999999165534973, 0.2149999886751175, 0.4350000023841858, 0.05999999865889549]",0
18,delay,ALM,tensor(0.4851),"[0.44999998807907104, 0.054999999701976776, 0.41499999165534973, 0.07999999821186066]",0
19,response,ALM,tensor(0.0792),"[0.2449999898672104, 0.25999999046325684, 0.4699999988079071, 0.02499999850988388]",0
20,off,tjM1,0,"[0.20499999821186066, 0.29999998211860657, 0.4399999976158142, 0.054999999701976776]",0
21,whisker,tjM1,tensor(0.3465),"[0.3799999952316284, 0.125, 0.429999977350235, 0.06499999761581421]",0
22,delay,tjM1,tensor(0.4257),"[0.41999998688697815, 0.08500000089406967, 0.42499998211860657, 0.07000000029802322]",0
23,response,tjM1,tensor(0.0891),"[0.25, 0.2549999952316284, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.16499999165534973, 0.3400000035762787, 0.4350000023841858, 0.05999999865889549]",1
25,whisker,wS1,tensor(0.),"[0.16499999165534973, 0.3400000035762787, 0.45499998331069946, 0.03999999910593033]",1
26,delay,wS1,tensor(0.5743),"[0.45499998331069946, 0.04999999701976776, 0.42499998211860657, 0.07000000029802322]",1
27,response,wS1,tensor(0.1089),"[0.2199999988079071, 0.2849999964237213, 0.4699999988079071, 0.02499999850988388]",1
28,off,wS2,0,"[0.16499999165534973, 0.3400000035762787, 0.4350000023841858, 0.05999999865889549]",1
29,whisker,wS2,tensor(0.1386),"[0.23499999940395355, 0.26999998092651367, 0.4350000023841858, 0.05999999865889549]",1
30,delay,wS2,tensor(0.5941),"[0.4650000035762787, 0.03999999910593033, 0.44999998807907104, 0.044999998062849045]",1
31,response,wS2,tensor(0.4059),"[0.3700000047683716, 0.13499999046325684, 0.4949999749660492, 0.0]",1
32,off,wM1,0,"[0.16499999165534973, 0.3400000035762787, 0.4350000023841858, 0.05999999865889549]",1
33,whisker,wM1,tensor(0.1782),"[0.2549999952316284, 0.25, 0.42499998211860657, 0.07000000029802322]",1
34,delay,wM1,tensor(0.5248),"[0.429999977350235, 0.07499999552965164, 0.4399999976158142, 0.054999999701976776]",1
35,response,wM1,tensor(0.3267),"[0.32999998331069946, 0.17499999701976776, 0.4899999797344208, 0.004999999888241291]",1
36,off,wM2,0,"[0.16499999165534973, 0.3400000035762787, 0.4350000023841858, 0.05999999865889549]",1
37,whisker,wM2,tensor(0.2772),"[0.3050000071525574, 0.19999998807907104, 0.4350000023841858, 0.05999999865889549]",1
38,delay,wM2,tensor(0.5644),"[0.44999998807907104, 0.054999999701976776, 0.4350000023841858, 0.05999999865889549]",1
39,response,wM2,tensor(0.0396),"[0.1850000023841858, 0.3199999928474426, 0.4699999988079071, 0.02499999850988388]",1
40,off,ALM,0,"[0.16499999165534973, 0.3400000035762787, 0.4350000023841858, 0.05999999865889549]",1
41,whisker,ALM,tensor(0.1980),"[0.26499998569488525, 0.23999999463558197, 0.41499999165534973, 0.07999999821186066]",1
42,delay,ALM,tensor(0.5347),"[0.4350000023841858, 0.07000000029802322, 0.41999998688697815, 0.07499999552965164]",1
43,response,ALM,tensor(0.1287),"[0.22999998927116394, 0.2750000059604645, 0.47999998927116394, 0.014999999664723873]",1
44,off,tjM1,0,"[0.16499999165534973, 0.3400000035762787, 0.4350000023841858, 0.05999999865889549]",1
45,whisker,tjM1,tensor(0.4455),"[0.38999998569488525, 0.11499999463558197, 0.4399999976158142, 0.054999999701976776]",1
46,delay,tjM1,tensor(0.4554),"[0.39499998092651367, 0.10999999940395355, 0.39499998092651367, 0.09999999403953552]",1
47,response,tjM1,tensor(0.2079),"[0.26999998092651367, 0.23499999940395355, 0.4899999797344208, 0.004999999888241291]",1
