,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
1,whisker,wS1,tensor(0.5347),"[0.39499998092651367, 0.10999999940395355, 0.3999999761581421, 0.0949999988079071]",0
2,delay,wS1,tensor(0.0891),"[0.17000000178813934, 0.3349999785423279, 0.4050000011920929, 0.08999999612569809]",0
3,response,wS1,tensor(0.0396),"[0.14499999582767487, 0.35999998450279236, 0.4050000011920929, 0.08999999612569809]",0
4,off,wS2,0,"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
5,whisker,wS2,tensor(0.0099),"[0.12999999523162842, 0.375, 0.3999999761581421, 0.0949999988079071]",0
6,delay,wS2,tensor(0.),"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
7,response,wS2,tensor(0.0297),"[0.14000000059604645, 0.3649999797344208, 0.4050000011920929, 0.08999999612569809]",0
8,off,wM1,0,"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
9,whisker,wM1,tensor(0.0099),"[0.12999999523162842, 0.375, 0.3999999761581421, 0.0949999988079071]",0
10,delay,wM1,tensor(0.),"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
11,response,wM1,tensor(0.0297),"[0.14000000059604645, 0.3649999797344208, 0.4050000011920929, 0.08999999612569809]",0
12,off,wM2,0,"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
13,whisker,wM2,tensor(0.5248),"[0.38999998569488525, 0.11499999463558197, 0.3999999761581421, 0.0949999988079071]",0
14,delay,wM2,tensor(0.3861),"[0.3199999928474426, 0.1850000023841858, 0.3999999761581421, 0.0949999988079071]",0
15,response,wM2,tensor(0.0198),"[0.13499999046325684, 0.3700000047683716, 0.4050000011920929, 0.08999999612569809]",0
16,off,ALM,0,"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
17,whisker,ALM,tensor(0.),"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
18,delay,ALM,tensor(0.0594),"[0.1550000011920929, 0.3499999940395355, 0.4099999964237213, 0.08500000089406967]",0
19,response,ALM,tensor(0.1485),"[0.19999998807907104, 0.3050000071525574, 0.44999998807907104, 0.044999998062849045]",0
20,off,tjM1,0,"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",0
21,whisker,tjM1,tensor(0.0099),"[0.12999999523162842, 0.375, 0.3999999761581421, 0.0949999988079071]",0
22,delay,tjM1,tensor(0.6040),"[0.429999977350235, 0.07499999552965164, 0.41499999165534973, 0.07999999821186066]",0
23,response,tjM1,tensor(0.7525),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.13499999046325684, 0.3700000047683716, 0.3799999952316284, 0.11499999463558197]",1
25,whisker,wS1,tensor(0.5446),"[0.4099999964237213, 0.0949999988079071, 0.3799999952316284, 0.11499999463558197]",1
26,delay,wS1,tensor(0.1188),"[0.19499999284744263, 0.3100000023841858, 0.3799999952316284, 0.11499999463558197]",1
27,response,wS1,tensor(0.0198),"[0.14499999582767487, 0.35999998450279236, 0.38499999046325684, 0.10999999940395355]",1
28,off,wS2,0,"[0.13499999046325684, 0.3700000047683716, 0.3799999952316284, 0.11499999463558197]",1
29,whisker,wS2,tensor(-0.0099),"[0.12999999523162842, 0.375, 0.3799999952316284, 0.11499999463558197]",1
30,delay,wS2,tensor(0.),"[0.13499999046325684, 0.3700000047683716, 0.3799999952316284, 0.11499999463558197]",1
31,response,wS2,tensor(0.0099),"[0.14000000059604645, 0.3649999797344208, 0.38499999046325684, 0.10999999940395355]",1
32,off,wM1,0,"[0.13499999046325684, 0.3700000047683716, 0.3799999952316284, 0.11499999463558197]",1
33,whisker,wM1,tensor(0.),"[0.13499999046325684, 0.3700000047683716, 0.3799999952316284, 0.11499999463558197]",1
34,delay,wM1,tensor(0.),"[0.13499999046325684, 0.3700000047683716, 0.3799999952316284, 0.11499999463558197]",1
35,response,wM1,tensor(0.0099),"[0.14000000059604645, 0.3649999797344208, 0.38499999046325684, 0.10999999940395355]",1
36,off,wM2,0,"[0.13499999046325684, 0.3700000047683716, 0.3799999952316284, 0.11499999463558197]",1
37,whisker,wM2,tensor(0.5149),"[0.39499998092651367, 0.10999999940395355, 0.3799999952316284, 0.11499999463558197]",1
38,delay,wM2,tensor(0.4257),"[0.3499999940395355, 0.1550000011920929, 0.3799999952316284, 0.11499999463558197]",1
39,response,wM2,tensor(0.0198),"[0.14499999582767487, 0.35999998450279236, 0.38499999046325684, 0.10999999940395355]",1
