,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.17999999225139618, 0.32499998807907104, 0.4949999749660492, 0.0]",0
1,whisker,wS1,tensor(0.0693),"[0.2149999886751175, 0.28999999165534973, 0.4949999749660492, 0.0]",0
2,delay,wS1,tensor(0.5248),"[0.4449999928474426, 0.05999999865889549, 0.4949999749660492, 0.0]",0
3,response,wS1,tensor(0.0396),"[0.19999998807907104, 0.3050000071525574, 0.4949999749660492, 0.0]",0
4,off,wS2,0,"[0.17999999225139618, 0.32499998807907104, 0.4949999749660492, 0.0]",0
5,whisker,wS2,tensor(-0.0891),"[0.13499999046325684, 0.3700000047683716, 0.4949999749660492, 0.0]",0
6,delay,wS2,tensor(0.2673),"[0.3149999976158142, 0.1899999976158142, 0.4949999749660492, 0.0]",0
7,response,wS2,tensor(0.2574),"[0.3100000023841858, 0.19499999284744263, 0.48499998450279236, 0.009999999776482582]",0
8,off,wM1,0,"[0.17999999225139618, 0.32499998807907104, 0.4949999749660492, 0.0]",0
9,whisker,wM1,tensor(-0.0297),"[0.16499999165534973, 0.3400000035762787, 0.4949999749660492, 0.0]",0
10,delay,wM1,tensor(0.5743),"[0.4699999988079071, 0.03500000014901161, 0.4949999749660492, 0.0]",0
11,response,wM1,tensor(0.1089),"[0.23499999940395355, 0.26999998092651367, 0.4949999749660492, 0.0]",0
12,off,wM2,0,"[0.17999999225139618, 0.32499998807907104, 0.4949999749660492, 0.0]",0
13,whisker,wM2,tensor(0.1089),"[0.23499999940395355, 0.26999998092651367, 0.4949999749660492, 0.0]",0
14,delay,wM2,tensor(0.4257),"[0.39499998092651367, 0.10999999940395355, 0.4949999749660492, 0.0]",0
15,response,wM2,tensor(0.0099),"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",0
16,off,ALM,0,"[0.17999999225139618, 0.32499998807907104, 0.4949999749660492, 0.0]",0
17,whisker,ALM,tensor(0.1584),"[0.25999999046325684, 0.2449999898672104, 0.4949999749660492, 0.0]",0
18,delay,ALM,tensor(0.6238),"[0.4949999749660492, 0.009999999776482582, 0.4949999749660492, 0.0]",0
19,response,ALM,tensor(0.),"[0.17999999225139618, 0.32499998807907104, 0.4949999749660492, 0.0]",0
20,off,tjM1,0,"[0.17999999225139618, 0.32499998807907104, 0.4949999749660492, 0.0]",0
21,whisker,tjM1,tensor(0.6436),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",0
22,delay,tjM1,tensor(0.6436),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",0
23,response,tjM1,tensor(0.4752),"[0.41999998688697815, 0.08500000089406967, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",1
25,whisker,wS1,tensor(0.0594),"[0.19999998807907104, 0.3050000071525574, 0.4949999749660492, 0.0]",1
26,delay,wS1,tensor(0.5644),"[0.45499998331069946, 0.04999999701976776, 0.4949999749660492, 0.0]",1
27,response,wS1,tensor(0.0495),"[0.19499999284744263, 0.3100000023841858, 0.4949999749660492, 0.0]",1
28,off,wS2,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",1
29,whisker,wS2,tensor(0.),"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",1
30,delay,wS2,tensor(0.3762),"[0.35999998450279236, 0.14499999582767487, 0.4949999749660492, 0.0]",1
31,response,wS2,tensor(0.1584),"[0.25, 0.2549999952316284, 0.4949999749660492, 0.0]",1
32,off,wM1,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",1
33,whisker,wM1,tensor(-0.0198),"[0.1599999964237213, 0.3449999988079071, 0.4949999749660492, 0.0]",1
34,delay,wM1,tensor(0.6436),"[0.4949999749660492, 0.009999999776482582, 0.4949999749660492, 0.0]",1
35,response,wM1,tensor(0.1287),"[0.23499999940395355, 0.26999998092651367, 0.4949999749660492, 0.0]",1
36,off,wM2,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",1
37,whisker,wM2,tensor(0.0495),"[0.19499999284744263, 0.3100000023841858, 0.4949999749660492, 0.0]",1
38,delay,wM2,tensor(0.4950),"[0.41999998688697815, 0.08500000089406967, 0.4949999749660492, 0.0]",1
39,response,wM2,tensor(0.0891),"[0.2149999886751175, 0.28999999165534973, 0.4949999749660492, 0.0]",1
40,off,ALM,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",1
41,whisker,ALM,tensor(0.0495),"[0.19499999284744263, 0.3100000023841858, 0.4949999749660492, 0.0]",1
42,delay,ALM,tensor(0.6337),"[0.4899999797344208, 0.014999999664723873, 0.4949999749660492, 0.0]",1
43,response,ALM,tensor(0.0594),"[0.19999998807907104, 0.3050000071525574, 0.4949999749660492, 0.0]",1
44,off,tjM1,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",1
45,whisker,tjM1,tensor(0.6634),"[0.5049999952316284, 0.0, 0.4949999749660492, 0.0]",1
46,delay,tjM1,tensor(0.6535),"[0.5, 0.004999999888241291, 0.4949999749660492, 0.0]",1
47,response,tjM1,tensor(0.3960),"[0.3700000047683716, 0.13499999046325684, 0.4949999749660492, 0.0]",1
48,off,wS1,0,"[0.17999999225139618, 0.3100000023841858, 0.5099999904632568, 0.0]",2
49,whisker,wS1,tensor(0.0612),"[0.20999999344348907, 0.2800000011920929, 0.5099999904632568, 0.0]",2
50,delay,wS1,tensor(0.4796),"[0.41499999165534973, 0.07499999552965164, 0.5099999904632568, 0.0]",2
51,response,wS1,tensor(-0.0306),"[0.16499999165534973, 0.32499998807907104, 0.5099999904632568, 0.0]",2
52,off,wS2,0,"[0.17999999225139618, 0.3100000023841858, 0.5099999904632568, 0.0]",2
53,whisker,wS2,tensor(-0.1122),"[0.125, 0.3649999797344208, 0.5099999904632568, 0.0]",2
54,delay,wS2,tensor(0.3776),"[0.3649999797344208, 0.125, 0.5099999904632568, 0.0]",2
55,response,wS2,tensor(0.1735),"[0.26499998569488525, 0.22499999403953552, 0.5099999904632568, 0.0]",2
56,off,wM1,0,"[0.17999999225139618, 0.3100000023841858, 0.5099999904632568, 0.0]",2
57,whisker,wM1,tensor(-0.0918),"[0.13499999046325684, 0.35499998927116394, 0.5099999904632568, 0.0]",2
58,delay,wM1,tensor(0.6020),"[0.4749999940395355, 0.014999999664723873, 0.5099999904632568, 0.0]",2
59,response,wM1,tensor(0.0816),"[0.2199999988079071, 0.26999998092651367, 0.5099999904632568, 0.0]",2
60,off,wM2,0,"[0.17999999225139618, 0.3100000023841858, 0.5099999904632568, 0.0]",2
61,whisker,wM2,tensor(0.0816),"[0.2199999988079071, 0.26999998092651367, 0.5099999904632568, 0.0]",2
62,delay,wM2,tensor(0.5102),"[0.429999977350235, 0.05999999865889549, 0.5099999904632568, 0.0]",2
63,response,wM2,tensor(0.0204),"[0.1899999976158142, 0.29999998211860657, 0.5099999904632568, 0.0]",2
64,off,ALM,0,"[0.17999999225139618, 0.3100000023841858, 0.5099999904632568, 0.0]",2
65,whisker,ALM,tensor(0.0408),"[0.19999998807907104, 0.28999999165534973, 0.5099999904632568, 0.0]",2
66,delay,ALM,tensor(0.5816),"[0.4650000035762787, 0.02499999850988388, 0.5099999904632568, 0.0]",2
67,response,ALM,tensor(-0.0306),"[0.16499999165534973, 0.32499998807907104, 0.5099999904632568, 0.0]",2
68,off,tjM1,0,"[0.17999999225139618, 0.3100000023841858, 0.5099999904632568, 0.0]",2
69,whisker,tjM1,tensor(0.6327),"[0.4899999797344208, 0.0, 0.5099999904632568, 0.0]",2
70,delay,tjM1,tensor(0.6327),"[0.4899999797344208, 0.0, 0.5099999904632568, 0.0]",2
71,response,tjM1,tensor(0.3878),"[0.3700000047683716, 0.11999999731779099, 0.5099999904632568, 0.0]",2
72,off,wS1,0,"[0.1599999964237213, 0.29999998211860657, 0.5399999618530273, 0.0]",3
