,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.17000000178813934, 0.38999998569488525, 0.41999998688697815, 0.019999999552965164]",0
1,whisker,wS1,tensor(-0.0357),"[0.14999999105930328, 0.4099999964237213, 0.3700000047683716, 0.07000000029802322]",0
2,delay,wS1,tensor(0.1607),"[0.25999999046325684, 0.29999998211860657, 0.38999998569488525, 0.04999999701976776]",0
3,response,wS1,tensor(0.0536),"[0.19999998807907104, 0.35999998450279236, 0.3799999952316284, 0.05999999865889549]",0
4,off,wS2,0,"[0.17000000178813934, 0.38999998569488525, 0.41999998688697815, 0.019999999552965164]",0
5,whisker,wS2,tensor(0.0536),"[0.19999998807907104, 0.35999998450279236, 0.3700000047683716, 0.07000000029802322]",0
6,delay,wS2,tensor(-0.0179),"[0.1599999964237213, 0.3999999761581421, 0.3799999952316284, 0.05999999865889549]",0
7,response,wS2,tensor(0.0714),"[0.20999999344348907, 0.3499999940395355, 0.429999977350235, 0.009999999776482582]",0
8,off,wM1,0,"[0.17000000178813934, 0.38999998569488525, 0.41999998688697815, 0.019999999552965164]",0
9,whisker,wM1,tensor(0.0536),"[0.19999998807907104, 0.35999998450279236, 0.32999998331069946, 0.10999999940395355]",0
10,delay,wM1,tensor(-0.0357),"[0.14999999105930328, 0.4099999964237213, 0.38999998569488525, 0.04999999701976776]",0
11,response,wM1,tensor(0.),"[0.17000000178813934, 0.38999998569488525, 0.3999999761581421, 0.03999999910593033]",0
12,off,wM2,0,"[0.17000000178813934, 0.38999998569488525, 0.41999998688697815, 0.019999999552965164]",0
13,whisker,wM2,tensor(0.0536),"[0.19999998807907104, 0.35999998450279236, 0.38999998569488525, 0.04999999701976776]",0
14,delay,wM2,tensor(0.0179),"[0.17999999225139618, 0.3799999952316284, 0.3700000047683716, 0.07000000029802322]",0
15,response,wM2,tensor(0.2143),"[0.28999999165534973, 0.26999998092651367, 0.4399999976158142, 0.0]",0
16,off,ALM,0,"[0.17000000178813934, 0.38999998569488525, 0.41999998688697815, 0.019999999552965164]",0
17,whisker,ALM,tensor(0.5714),"[0.4899999797344208, 0.07000000029802322, 0.3700000047683716, 0.07000000029802322]",0
18,delay,ALM,tensor(0.5536),"[0.47999998927116394, 0.07999999821186066, 0.38999998569488525, 0.04999999701976776]",0
19,response,ALM,tensor(-0.0179),"[0.1599999964237213, 0.3999999761581421, 0.3400000035762787, 0.09999999403953552]",0
20,off,tjM1,0,"[0.17000000178813934, 0.38999998569488525, 0.41999998688697815, 0.019999999552965164]",0
21,whisker,tjM1,tensor(-0.0179),"[0.1599999964237213, 0.3999999761581421, 0.3700000047683716, 0.07000000029802322]",0
22,delay,tjM1,tensor(0.5000),"[0.44999998807907104, 0.10999999940395355, 0.41999998688697815, 0.019999999552965164]",0
23,response,tjM1,tensor(0.6429),"[0.5299999713897705, 0.029999999329447746, 0.4399999976158142, 0.0]",0
24,off,wS1,0,"[0.17000000178813934, 0.3799999952316284, 0.3999999761581421, 0.04999999701976776]",1
25,whisker,wS1,tensor(0.),"[0.17000000178813934, 0.3799999952316284, 0.3799999952316284, 0.07000000029802322]",1
26,delay,wS1,tensor(0.2000),"[0.2800000011920929, 0.26999998092651367, 0.32999998331069946, 0.11999999731779099]",1
27,response,wS1,tensor(0.0727),"[0.20999999344348907, 0.3400000035762787, 0.35999998450279236, 0.08999999612569809]",1
28,off,wS2,0,"[0.17000000178813934, 0.3799999952316284, 0.3999999761581421, 0.04999999701976776]",1
29,whisker,wS2,tensor(-0.0364),"[0.14999999105930328, 0.3999999761581421, 0.3700000047683716, 0.07999999821186066]",1
30,delay,wS2,tensor(-0.1273),"[0.09999999403953552, 0.44999998807907104, 0.38999998569488525, 0.05999999865889549]",1
31,response,wS2,tensor(0.0364),"[0.1899999976158142, 0.35999998450279236, 0.3999999761581421, 0.04999999701976776]",1
32,off,wM1,0,"[0.17000000178813934, 0.3799999952316284, 0.3999999761581421, 0.04999999701976776]",1
33,whisker,wM1,tensor(-0.0364),"[0.14999999105930328, 0.3999999761581421, 0.3700000047683716, 0.07999999821186066]",1
34,delay,wM1,tensor(-0.1273),"[0.09999999403953552, 0.44999998807907104, 0.35999998450279236, 0.08999999612569809]",1
35,response,wM1,tensor(0.),"[0.17000000178813934, 0.3799999952316284, 0.3999999761581421, 0.04999999701976776]",1
36,off,wM2,0,"[0.17000000178813934, 0.3799999952316284, 0.3999999761581421, 0.04999999701976776]",1
37,whisker,wM2,tensor(0.1091),"[0.22999998927116394, 0.3199999928474426, 0.3799999952316284, 0.07000000029802322]",1
38,delay,wM2,tensor(-0.1273),"[0.09999999403953552, 0.44999998807907104, 0.3400000035762787, 0.10999999940395355]",1
39,response,wM2,tensor(0.1818),"[0.26999998092651367, 0.2800000011920929, 0.44999998807907104, 0.0]",1
40,off,ALM,0,"[0.17000000178813934, 0.3799999952316284, 0.3999999761581421, 0.04999999701976776]",1
41,whisker,ALM,tensor(0.5636),"[0.47999998927116394, 0.07000000029802322, 0.3999999761581421, 0.04999999701976776]",1
42,delay,ALM,tensor(0.4909),"[0.4399999976158142, 0.10999999940395355, 0.3999999761581421, 0.04999999701976776]",1
43,response,ALM,tensor(-0.0364),"[0.14999999105930328, 0.3999999761581421, 0.3799999952316284, 0.07000000029802322]",1
44,off,tjM1,0,"[0.17000000178813934, 0.3799999952316284, 0.3999999761581421, 0.04999999701976776]",1
45,whisker,tjM1,tensor(-0.0727),"[0.12999999523162842, 0.41999998688697815, 0.38999998569488525, 0.05999999865889549]",1
46,delay,tjM1,tensor(0.5273),"[0.4599999785423279, 0.08999999612569809, 0.3700000047683716, 0.07999999821186066]",1
47,response,tjM1,tensor(0.5091),"[0.44999998807907104, 0.09999999403953552, 0.44999998807907104, 0.0]",1
48,off,wS1,0,"[0.12999999523162842, 0.3199999928474426, 0.5099999904632568, 0.03999999910593033]",2
49,whisker,wS1,tensor(0.0444),"[0.14999999105930328, 0.29999998211860657, 0.5, 0.04999999701976776]",2
50,delay,wS1,tensor(0.2444),"[0.23999999463558197, 0.20999999344348907, 0.4899999797344208, 0.05999999865889549]",2
51,response,wS1,tensor(0.0889),"[0.17000000178813934, 0.2800000011920929, 0.5099999904632568, 0.03999999910593033]",2
52,off,wS2,0,"[0.12999999523162842, 0.3199999928474426, 0.5099999904632568, 0.03999999910593033]",2
53,whisker,wS2,tensor(0.),"[0.12999999523162842, 0.3199999928474426, 0.47999998927116394, 0.07000000029802322]",2
54,delay,wS2,tensor(0.),"[0.12999999523162842, 0.3199999928474426, 0.47999998927116394, 0.07000000029802322]",2
55,response,wS2,tensor(0.0889),"[0.17000000178813934, 0.2800000011920929, 0.5199999809265137, 0.029999999329447746]",2
56,off,wM1,0,"[0.12999999523162842, 0.3199999928474426, 0.5099999904632568, 0.03999999910593033]",2
57,whisker,wM1,tensor(-0.0444),"[0.10999999940395355, 0.3400000035762787, 0.4699999988079071, 0.07999999821186066]",2
58,delay,wM1,tensor(0.0222),"[0.14000000059604645, 0.3100000023841858, 0.5, 0.04999999701976776]",2
59,response,wM1,tensor(-0.0222),"[0.11999999731779099, 0.32999998331069946, 0.5099999904632568, 0.03999999910593033]",2
60,off,wM2,0,"[0.12999999523162842, 0.3199999928474426, 0.5099999904632568, 0.03999999910593033]",2
61,whisker,wM2,tensor(0.),"[0.12999999523162842, 0.3199999928474426, 0.4599999785423279, 0.08999999612569809]",2
62,delay,wM2,tensor(-0.0667),"[0.09999999403953552, 0.3499999940395355, 0.4699999988079071, 0.07999999821186066]",2
63,response,wM2,tensor(0.2000),"[0.2199999988079071, 0.22999998927116394, 0.5399999618530273, 0.009999999776482582]",2
64,off,ALM,0,"[0.12999999523162842, 0.3199999928474426, 0.5099999904632568, 0.03999999910593033]",2
65,whisker,ALM,tensor(0.6222),"[0.4099999964237213, 0.03999999910593033, 0.47999998927116394, 0.07000000029802322]",2
66,delay,ALM,tensor(0.5111),"[0.35999998450279236, 0.08999999612569809, 0.4599999785423279, 0.08999999612569809]",2
67,response,ALM,tensor(0.),"[0.12999999523162842, 0.3199999928474426, 0.4899999797344208, 0.05999999865889549]",2
68,off,tjM1,0,"[0.12999999523162842, 0.3199999928474426, 0.5099999904632568, 0.03999999910593033]",2
69,whisker,tjM1,tensor(0.0222),"[0.14000000059604645, 0.3100000023841858, 0.4699999988079071, 0.07999999821186066]",2
70,delay,tjM1,tensor(0.4222),"[0.3199999928474426, 0.12999999523162842, 0.4599999785423279, 0.08999999612569809]",2
71,response,tjM1,tensor(0.6000),"[0.3999999761581421, 0.04999999701976776, 0.550000011920929, 0.0]",2
72,off,wS1,0,"[0.14000000059604645, 0.35999998450279236, 0.3700000047683716, 0.12999999523162842]",3
73,whisker,wS1,tensor(0.1200),"[0.19999998807907104, 0.29999998211860657, 0.3999999761581421, 0.09999999403953552]",3
74,delay,wS1,tensor(0.2400),"[0.25999999046325684, 0.23999999463558197, 0.41999998688697815, 0.07999999821186066]",3
75,response,wS1,tensor(0.0600),"[0.17000000178813934, 0.32999998331069946, 0.4099999964237213, 0.08999999612569809]",3
76,off,wS2,0,"[0.14000000059604645, 0.35999998450279236, 0.3700000047683716, 0.12999999523162842]",3
77,whisker,wS2,tensor(0.1600),"[0.2199999988079071, 0.2800000011920929, 0.3999999761581421, 0.09999999403953552]",3
78,delay,wS2,tensor(-0.0200),"[0.12999999523162842, 0.3700000047683716, 0.3700000047683716, 0.12999999523162842]",3
79,response,wS2,tensor(0.0800),"[0.17999999225139618, 0.3199999928474426, 0.38999998569488525, 0.10999999940395355]",3
80,off,wM1,0,"[0.14000000059604645, 0.35999998450279236, 0.3700000047683716, 0.12999999523162842]",3
81,whisker,wM1,tensor(0.0200),"[0.14999999105930328, 0.3499999940395355, 0.41999998688697815, 0.07999999821186066]",3
82,delay,wM1,tensor(-0.0200),"[0.12999999523162842, 0.3700000047683716, 0.44999998807907104, 0.04999999701976776]",3
83,response,wM1,tensor(0.0400),"[0.1599999964237213, 0.3400000035762787, 0.429999977350235, 0.07000000029802322]",3
84,off,wM2,0,"[0.14000000059604645, 0.35999998450279236, 0.3700000047683716, 0.12999999523162842]",3
85,whisker,wM2,tensor(0.1200),"[0.19999998807907104, 0.29999998211860657, 0.41999998688697815, 0.07999999821186066]",3
86,delay,wM2,tensor(0.),"[0.14000000059604645, 0.35999998450279236, 0.44999998807907104, 0.04999999701976776]",3
87,response,wM2,tensor(0.1400),"[0.20999999344348907, 0.28999999165534973, 0.4899999797344208, 0.009999999776482582]",3
88,off,ALM,0,"[0.14000000059604645, 0.35999998450279236, 0.3700000047683716, 0.12999999523162842]",3
89,whisker,ALM,tensor(0.6400),"[0.4599999785423279, 0.03999999910593033, 0.3799999952316284, 0.11999999731779099]",3
90,delay,ALM,tensor(0.5600),"[0.41999998688697815, 0.07999999821186066, 0.429999977350235, 0.07000000029802322]",3
91,response,ALM,tensor(-0.0400),"[0.11999999731779099, 0.3799999952316284, 0.3999999761581421, 0.09999999403953552]",3
92,off,tjM1,0,"[0.14000000059604645, 0.35999998450279236, 0.3700000047683716, 0.12999999523162842]",3
93,whisker,tjM1,tensor(-0.0200),"[0.12999999523162842, 0.3700000047683716, 0.41999998688697815, 0.07999999821186066]",3
94,delay,tjM1,tensor(0.5800),"[0.429999977350235, 0.07000000029802322, 0.3799999952316284, 0.11999999731779099]",3
95,response,tjM1,tensor(0.5600),"[0.41999998688697815, 0.07999999821186066, 0.5, 0.0]",3
96,off,wS1,0,"[0.10999999940395355, 0.3799999952316284, 0.44999998807907104, 0.05999999865889549]",4
97,whisker,wS1,tensor(0.0204),"[0.11999999731779099, 0.3700000047683716, 0.4399999976158142, 0.07000000029802322]",4
98,delay,wS1,tensor(0.2245),"[0.2199999988079071, 0.26999998092651367, 0.44999998807907104, 0.05999999865889549]",4
99,response,wS1,tensor(0.0816),"[0.14999999105930328, 0.3400000035762787, 0.429999977350235, 0.07999999821186066]",4
