,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
1,whisker,wS1,tensor(0.),"[0.2199999988079071, 0.2849999964237213, 0.3999999761581421, 0.0949999988079071]",0
2,delay,wS1,tensor(0.0495),"[0.2449999898672104, 0.25999999046325684, 0.41999998688697815, 0.07499999552965164]",0
3,response,wS1,tensor(0.0198),"[0.22999998927116394, 0.2750000059604645, 0.41499999165534973, 0.07999999821186066]",0
4,off,wS2,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
5,whisker,wS2,tensor(-0.0594),"[0.1899999976158142, 0.3149999976158142, 0.38499999046325684, 0.10999999940395355]",0
6,delay,wS2,tensor(0.1386),"[0.28999999165534973, 0.2149999886751175, 0.42499998211860657, 0.07000000029802322]",0
7,response,wS2,tensor(0.0594),"[0.25, 0.2549999952316284, 0.429999977350235, 0.06499999761581421]",0
8,off,wM1,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
9,whisker,wM1,tensor(0.0297),"[0.23499999940395355, 0.26999998092651367, 0.39499998092651367, 0.09999999403953552]",0
10,delay,wM1,tensor(0.4257),"[0.4350000023841858, 0.07000000029802322, 0.41999998688697815, 0.07499999552965164]",0
11,response,wM1,tensor(0.0297),"[0.23499999940395355, 0.26999998092651367, 0.45499998331069946, 0.03999999910593033]",0
12,off,wM2,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
13,whisker,wM2,tensor(0.1089),"[0.2750000059604645, 0.22999998927116394, 0.4050000011920929, 0.08999999612569809]",0
14,delay,wM2,tensor(0.1485),"[0.29499998688697815, 0.20999999344348907, 0.429999977350235, 0.06499999761581421]",0
15,response,wM2,tensor(0.0297),"[0.23499999940395355, 0.26999998092651367, 0.429999977350235, 0.06499999761581421]",0
16,off,ALM,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
17,whisker,ALM,tensor(-0.1089),"[0.16499999165534973, 0.3400000035762787, 0.4050000011920929, 0.08999999612569809]",0
18,delay,ALM,tensor(-0.1287),"[0.1550000011920929, 0.3499999940395355, 0.38999998569488525, 0.10499999672174454]",0
19,response,ALM,tensor(-0.0792),"[0.17999999225139618, 0.32499998807907104, 0.2800000011920929, 0.2149999886751175]",0
20,off,tjM1,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
21,whisker,tjM1,tensor(-0.1287),"[0.1550000011920929, 0.3499999940395355, 0.4350000023841858, 0.05999999865889549]",0
22,delay,tjM1,tensor(0.3168),"[0.3799999952316284, 0.125, 0.4050000011920929, 0.08999999612569809]",0
23,response,tjM1,tensor(0.),"[0.2199999988079071, 0.2849999964237213, 0.375, 0.11999999731779099]",0
24,off,wS1,0,"[0.22999998927116394, 0.2750000059604645, 0.3999999761581421, 0.0949999988079071]",1
25,whisker,wS1,tensor(-0.1089),"[0.17499999701976776, 0.32999998331069946, 0.4050000011920929, 0.08999999612569809]",1
26,delay,wS1,tensor(0.0792),"[0.26999998092651367, 0.23499999940395355, 0.429999977350235, 0.06499999761581421]",1
27,response,wS1,tensor(-0.0396),"[0.20999999344348907, 0.29499998688697815, 0.4050000011920929, 0.08999999612569809]",1
28,off,wS2,0,"[0.22999998927116394, 0.2750000059604645, 0.3999999761581421, 0.0949999988079071]",1
29,whisker,wS2,tensor(-0.2079),"[0.125, 0.3799999952316284, 0.3999999761581421, 0.0949999988079071]",1
30,delay,wS2,tensor(0.0297),"[0.2449999898672104, 0.25999999046325684, 0.3799999952316284, 0.11499999463558197]",1
