,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.22499999403953552, 0.2800000011920929, 0.38999998569488525, 0.10499999672174454]",0
1,whisker,wS1,tensor(0.0594),"[0.2549999952316284, 0.25, 0.39499998092651367, 0.09999999403953552]",0
2,delay,wS1,tensor(0.0594),"[0.2549999952316284, 0.25, 0.41999998688697815, 0.07499999552965164]",0
3,response,wS1,tensor(-0.0396),"[0.20499999821186066, 0.29999998211860657, 0.3799999952316284, 0.11499999463558197]",0
4,off,wS2,0,"[0.22499999403953552, 0.2800000011920929, 0.38999998569488525, 0.10499999672174454]",0
5,whisker,wS2,tensor(-0.0297),"[0.20999999344348907, 0.29499998688697815, 0.38999998569488525, 0.10499999672174454]",0
6,delay,wS2,tensor(-0.0396),"[0.20499999821186066, 0.29999998211860657, 0.38999998569488525, 0.10499999672174454]",0
7,response,wS2,tensor(-0.0297),"[0.20999999344348907, 0.29499998688697815, 0.39499998092651367, 0.09999999403953552]",0
8,off,wM1,0,"[0.22499999403953552, 0.2800000011920929, 0.38999998569488525, 0.10499999672174454]",0
9,whisker,wM1,tensor(-0.0297),"[0.20999999344348907, 0.29499998688697815, 0.38999998569488525, 0.10499999672174454]",0
10,delay,wM1,tensor(-0.0099),"[0.2199999988079071, 0.2849999964237213, 0.39499998092651367, 0.09999999403953552]",0
11,response,wM1,tensor(-0.0297),"[0.20999999344348907, 0.29499998688697815, 0.38499999046325684, 0.10999999940395355]",0
12,off,wM2,0,"[0.22499999403953552, 0.2800000011920929, 0.38999998569488525, 0.10499999672174454]",0
13,whisker,wM2,tensor(-0.0297),"[0.20999999344348907, 0.29499998688697815, 0.38999998569488525, 0.10499999672174454]",0
14,delay,wM2,tensor(0.2772),"[0.3649999797344208, 0.14000000059604645, 0.429999977350235, 0.06499999761581421]",0
15,response,wM2,tensor(0.),"[0.22499999403953552, 0.2800000011920929, 0.38999998569488525, 0.10499999672174454]",0
16,off,ALM,0,"[0.22499999403953552, 0.2800000011920929, 0.38999998569488525, 0.10499999672174454]",0
17,whisker,ALM,tensor(-0.0297),"[0.20999999344348907, 0.29499998688697815, 0.39499998092651367, 0.09999999403953552]",0
18,delay,ALM,tensor(-0.0495),"[0.19999998807907104, 0.3050000071525574, 0.38499999046325684, 0.10999999940395355]",0
19,response,ALM,tensor(-0.0198),"[0.2149999886751175, 0.28999999165534973, 0.3999999761581421, 0.0949999988079071]",0
20,off,tjM1,0,"[0.22499999403953552, 0.2800000011920929, 0.38999998569488525, 0.10499999672174454]",0
21,whisker,tjM1,tensor(-0.0495),"[0.19999998807907104, 0.3050000071525574, 0.38999998569488525, 0.10499999672174454]",0
22,delay,tjM1,tensor(-0.0198),"[0.2149999886751175, 0.28999999165534973, 0.4050000011920929, 0.08999999612569809]",0
23,response,tjM1,tensor(0.),"[0.22499999403953552, 0.2800000011920929, 0.4050000011920929, 0.08999999612569809]",0
24,off,wS1,0,"[0.25999999046325684, 0.2449999898672104, 0.3700000047683716, 0.125]",1
