,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.22999998927116394, 0.2750000059604645, 0.3799999952316284, 0.11499999463558197]",0
1,whisker,wS1,tensor(-0.0693),"[0.19499999284744263, 0.3100000023841858, 0.3649999797344208, 0.12999999523162842]",0
2,delay,wS1,tensor(0.0396),"[0.25, 0.2549999952316284, 0.26999998092651367, 0.22499999403953552]",0
3,response,wS1,tensor(0.0099),"[0.23499999940395355, 0.26999998092651367, 0.3799999952316284, 0.11499999463558197]",0
4,off,wS2,0,"[0.22999998927116394, 0.2750000059604645, 0.3799999952316284, 0.11499999463558197]",0
5,whisker,wS2,tensor(0.0297),"[0.2449999898672104, 0.25999999046325684, 0.3700000047683716, 0.125]",0
6,delay,wS2,tensor(-0.0594),"[0.19999998807907104, 0.3050000071525574, 0.35999998450279236, 0.13499999046325684]",0
7,response,wS2,tensor(0.),"[0.22999998927116394, 0.2750000059604645, 0.38499999046325684, 0.10999999940395355]",0
8,off,wM1,0,"[0.22999998927116394, 0.2750000059604645, 0.3799999952316284, 0.11499999463558197]",0
9,whisker,wM1,tensor(-0.0891),"[0.1850000023841858, 0.3199999928474426, 0.3799999952316284, 0.11499999463558197]",0
10,delay,wM1,tensor(0.0693),"[0.26499998569488525, 0.23999999463558197, 0.375, 0.11999999731779099]",0
11,response,wM1,tensor(0.0198),"[0.23999999463558197, 0.26499998569488525, 0.38499999046325684, 0.10999999940395355]",0
12,off,wM2,0,"[0.22999998927116394, 0.2750000059604645, 0.3799999952316284, 0.11499999463558197]",0
13,whisker,wM2,tensor(-0.0099),"[0.22499999403953552, 0.2800000011920929, 0.3649999797344208, 0.12999999523162842]",0
14,delay,wM2,tensor(0.3366),"[0.3999999761581421, 0.10499999672174454, 0.41499999165534973, 0.07999999821186066]",0
15,response,wM2,tensor(0.0396),"[0.25, 0.2549999952316284, 0.3999999761581421, 0.0949999988079071]",0
16,off,ALM,0,"[0.22999998927116394, 0.2750000059604645, 0.3799999952316284, 0.11499999463558197]",0
17,whisker,ALM,tensor(0.0594),"[0.25999999046325684, 0.2449999898672104, 0.3799999952316284, 0.11499999463558197]",0
18,delay,ALM,tensor(0.3960),"[0.429999977350235, 0.07499999552965164, 0.3649999797344208, 0.12999999523162842]",0
19,response,ALM,tensor(0.0099),"[0.23499999940395355, 0.26999998092651367, 0.3999999761581421, 0.0949999988079071]",0
20,off,tjM1,0,"[0.22999998927116394, 0.2750000059604645, 0.3799999952316284, 0.11499999463558197]",0
21,whisker,tjM1,tensor(-0.0594),"[0.19999998807907104, 0.3050000071525574, 0.38499999046325684, 0.10999999940395355]",0
22,delay,tjM1,tensor(0.1485),"[0.3050000071525574, 0.19999998807907104, 0.44999998807907104, 0.044999998062849045]",0
23,response,tjM1,tensor(0.0099),"[0.23499999940395355, 0.26999998092651367, 0.375, 0.11999999731779099]",0
24,off,wS1,0,"[0.23999999463558197, 0.26499998569488525, 0.4050000011920929, 0.08999999612569809]",1
25,whisker,wS1,tensor(-0.0495),"[0.2149999886751175, 0.28999999165534973, 0.3999999761581421, 0.0949999988079071]",1
26,delay,wS1,tensor(0.0297),"[0.2549999952316284, 0.25, 0.29499998688697815, 0.19999998807907104]",1
27,response,wS1,tensor(0.0297),"[0.2549999952316284, 0.25, 0.3999999761581421, 0.0949999988079071]",1
28,off,wS2,0,"[0.23999999463558197, 0.26499998569488525, 0.4050000011920929, 0.08999999612569809]",1
29,whisker,wS2,tensor(0.0792),"[0.2800000011920929, 0.22499999403953552, 0.39499998092651367, 0.09999999403953552]",1
30,delay,wS2,tensor(0.0099),"[0.2449999898672104, 0.25999999046325684, 0.3649999797344208, 0.12999999523162842]",1
31,response,wS2,tensor(0.0198),"[0.25, 0.2549999952316284, 0.3999999761581421, 0.0949999988079071]",1
32,off,wM1,0,"[0.23999999463558197, 0.26499998569488525, 0.4050000011920929, 0.08999999612569809]",1
33,whisker,wM1,tensor(0.0099),"[0.2449999898672104, 0.25999999046325684, 0.4050000011920929, 0.08999999612569809]",1
34,delay,wM1,tensor(0.0099),"[0.2449999898672104, 0.25999999046325684, 0.3649999797344208, 0.12999999523162842]",1
35,response,wM1,tensor(0.0297),"[0.2549999952316284, 0.25, 0.4050000011920929, 0.08999999612569809]",1
36,off,wM2,0,"[0.23999999463558197, 0.26499998569488525, 0.4050000011920929, 0.08999999612569809]",1
37,whisker,wM2,tensor(0.0198),"[0.25, 0.2549999952316284, 0.3700000047683716, 0.125]",1
38,delay,wM2,tensor(0.2574),"[0.3700000047683716, 0.13499999046325684, 0.4099999964237213, 0.08500000089406967]",1
39,response,wM2,tensor(0.0693),"[0.2750000059604645, 0.22999998927116394, 0.41499999165534973, 0.07999999821186066]",1
40,off,ALM,0,"[0.23999999463558197, 0.26499998569488525, 0.4050000011920929, 0.08999999612569809]",1
41,whisker,ALM,tensor(0.0792),"[0.2800000011920929, 0.22499999403953552, 0.3999999761581421, 0.0949999988079071]",1
42,delay,ALM,tensor(0.3267),"[0.4050000011920929, 0.09999999403953552, 0.3649999797344208, 0.12999999523162842]",1
43,response,ALM,tensor(0.0297),"[0.2549999952316284, 0.25, 0.3999999761581421, 0.0949999988079071]",1
44,off,tjM1,0,"[0.23999999463558197, 0.26499998569488525, 0.4050000011920929, 0.08999999612569809]",1
45,whisker,tjM1,tensor(-0.0297),"[0.22499999403953552, 0.2800000011920929, 0.4099999964237213, 0.08500000089406967]",1
46,delay,tjM1,tensor(0.1584),"[0.3199999928474426, 0.1850000023841858, 0.429999977350235, 0.06499999761581421]",1
47,response,tjM1,tensor(0.0297),"[0.2549999952316284, 0.25, 0.3799999952316284, 0.11499999463558197]",1
48,off,wS1,0,"[0.23999999463558197, 0.25, 0.39499998092651367, 0.11499999463558197]",2
49,whisker,wS1,tensor(-0.0918),"[0.19499999284744263, 0.29499998688697815, 0.38499999046325684, 0.125]",2
50,delay,wS1,tensor(0.0408),"[0.25999999046325684, 0.22999998927116394, 0.3100000023841858, 0.19999998807907104]",2
51,response,wS1,tensor(0.0204),"[0.25, 0.23999999463558197, 0.38499999046325684, 0.125]",2
52,off,wS2,0,"[0.23999999463558197, 0.25, 0.39499998092651367, 0.11499999463558197]",2
53,whisker,wS2,tensor(0.0306),"[0.2549999952316284, 0.23499999940395355, 0.39499998092651367, 0.11499999463558197]",2
54,delay,wS2,tensor(-0.0510),"[0.2149999886751175, 0.2750000059604645, 0.375, 0.13499999046325684]",2
55,response,wS2,tensor(0.),"[0.23999999463558197, 0.25, 0.39499998092651367, 0.11499999463558197]",2
56,off,wM1,0,"[0.23999999463558197, 0.25, 0.39499998092651367, 0.11499999463558197]",2
57,whisker,wM1,tensor(0.),"[0.23999999463558197, 0.25, 0.38999998569488525, 0.11999999731779099]",2
58,delay,wM1,tensor(0.0306),"[0.2549999952316284, 0.23499999940395355, 0.3649999797344208, 0.14499999582767487]",2
59,response,wM1,tensor(0.),"[0.23999999463558197, 0.25, 0.4050000011920929, 0.10499999672174454]",2
