,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
1,whisker,wS1,tensor(0.2475),"[0.3449999988079071, 0.1599999964237213, 0.4099999964237213, 0.08500000089406967]",0
2,delay,wS1,tensor(0.3465),"[0.39499998092651367, 0.10999999940395355, 0.4350000023841858, 0.05999999865889549]",0
3,response,wS1,tensor(0.1485),"[0.29499998688697815, 0.20999999344348907, 0.4749999940395355, 0.019999999552965164]",0
4,off,wS2,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
5,whisker,wS2,tensor(0.3564),"[0.3999999761581421, 0.10499999672174454, 0.39499998092651367, 0.09999999403953552]",0
6,delay,wS2,tensor(0.0792),"[0.25999999046325684, 0.2449999898672104, 0.4050000011920929, 0.08999999612569809]",0
7,response,wS2,tensor(0.1881),"[0.3149999976158142, 0.1899999976158142, 0.4949999749660492, 0.0]",0
8,off,wM1,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
9,whisker,wM1,tensor(-0.0099),"[0.2149999886751175, 0.28999999165534973, 0.3999999761581421, 0.0949999988079071]",0
10,delay,wM1,tensor(-0.0495),"[0.19499999284744263, 0.3100000023841858, 0.38999998569488525, 0.10499999672174454]",0
11,response,wM1,tensor(0.0990),"[0.26999998092651367, 0.23499999940395355, 0.44999998807907104, 0.044999998062849045]",0
12,off,wM2,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
13,whisker,wM2,tensor(0.0099),"[0.22499999403953552, 0.2800000011920929, 0.41499999165534973, 0.07999999821186066]",0
14,delay,wM2,tensor(0.0693),"[0.2549999952316284, 0.25, 0.41999998688697815, 0.07499999552965164]",0
15,response,wM2,tensor(0.1287),"[0.2849999964237213, 0.2199999988079071, 0.4599999785423279, 0.03500000014901161]",0
16,off,ALM,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
17,whisker,ALM,tensor(0.1584),"[0.29999998211860657, 0.20499999821186066, 0.429999977350235, 0.06499999761581421]",0
18,delay,ALM,tensor(0.3168),"[0.3799999952316284, 0.125, 0.429999977350235, 0.06499999761581421]",0
19,response,ALM,tensor(0.1287),"[0.2849999964237213, 0.2199999988079071, 0.48499998450279236, 0.009999999776482582]",0
20,off,tjM1,0,"[0.2199999988079071, 0.2849999964237213, 0.42499998211860657, 0.07000000029802322]",0
