,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",0
1,whisker,wS1,tensor(-0.0792),"[0.12999999523162842, 0.375, 0.4949999749660492, 0.0]",0
2,delay,wS1,tensor(0.),"[0.17000000178813934, 0.3349999785423279, 0.48499998450279236, 0.009999999776482582]",0
3,response,wS1,tensor(-0.0594),"[0.14000000059604645, 0.3649999797344208, 0.4899999797344208, 0.004999999888241291]",0
4,off,wS2,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",0
5,whisker,wS2,tensor(-0.1089),"[0.11499999463558197, 0.38999998569488525, 0.4949999749660492, 0.0]",0
6,delay,wS2,tensor(0.0792),"[0.20999999344348907, 0.29499998688697815, 0.48499998450279236, 0.009999999776482582]",0
7,response,wS2,tensor(0.2178),"[0.2800000011920929, 0.22499999403953552, 0.4949999749660492, 0.0]",0
8,off,wM1,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",0
9,whisker,wM1,tensor(-0.0891),"[0.125, 0.3799999952316284, 0.4949999749660492, 0.0]",0
10,delay,wM1,tensor(0.3465),"[0.3449999988079071, 0.1599999964237213, 0.4699999988079071, 0.02499999850988388]",0
11,response,wM1,tensor(0.0693),"[0.20499999821186066, 0.29999998211860657, 0.4899999797344208, 0.004999999888241291]",0
12,off,wM2,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",0
13,whisker,wM2,tensor(-0.1089),"[0.11499999463558197, 0.38999998569488525, 0.4949999749660492, 0.0]",0
14,delay,wM2,tensor(0.1980),"[0.26999998092651367, 0.23499999940395355, 0.48499998450279236, 0.009999999776482582]",0
15,response,wM2,tensor(0.0396),"[0.1899999976158142, 0.3149999976158142, 0.4949999749660492, 0.0]",0
16,off,ALM,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",0
17,whisker,ALM,tensor(0.0297),"[0.1850000023841858, 0.3199999928474426, 0.4949999749660492, 0.0]",0
18,delay,ALM,tensor(0.6535),"[0.5, 0.004999999888241291, 0.4949999749660492, 0.0]",0
19,response,ALM,tensor(-0.0297),"[0.1550000011920929, 0.3499999940395355, 0.4949999749660492, 0.0]",0
20,off,tjM1,0,"[0.17000000178813934, 0.3349999785423279, 0.4949999749660492, 0.0]",0
21,whisker,tjM1,tensor(0.5842),"[0.4650000035762787, 0.03999999910593033, 0.4949999749660492, 0.0]",0
22,delay,tjM1,tensor(0.6436),"[0.4949999749660492, 0.009999999776482582, 0.4749999940395355, 0.019999999552965164]",0
23,response,tjM1,tensor(0.3465),"[0.3449999988079071, 0.1599999964237213, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.10499999672174454, 0.3999999761581421, 0.48499998450279236, 0.009999999776482582]",1
25,whisker,wS1,tensor(0.0396),"[0.125, 0.3799999952316284, 0.48499998450279236, 0.009999999776482582]",1
