,period,area,miss_diff,propabilities,session
24,off,wS1,0,"[0.17999999225139618, 0.32499998807907104, 0.429999977350235, 0.06499999761581421]",1
25,whisker,wS1,tensor(0.0594),"[0.20999999344348907, 0.29499998688697815, 0.429999977350235, 0.06499999761581421]",1
26,delay,wS1,tensor(0.0495),"[0.20499999821186066, 0.29999998211860657, 0.41499999165534973, 0.07999999821186066]",1
27,response,wS1,tensor(0.),"[0.17999999225139618, 0.32499998807907104, 0.3799999952316284, 0.11499999463558197]",1
28,off,wS2,0,"[0.17999999225139618, 0.32499998807907104, 0.429999977350235, 0.06499999761581421]",1
29,whisker,wS2,tensor(0.0990),"[0.22999998927116394, 0.2750000059604645, 0.4449999928474426, 0.04999999701976776]",1
30,delay,wS2,tensor(0.4356),"[0.3999999761581421, 0.10499999672174454, 0.4099999964237213, 0.08500000089406967]",1
31,response,wS2,tensor(0.0099),"[0.1850000023841858, 0.3199999928474426, 0.44999998807907104, 0.044999998062849045]",1
32,off,wM1,0,"[0.17999999225139618, 0.32499998807907104, 0.429999977350235, 0.06499999761581421]",1
33,whisker,wM1,tensor(0.0099),"[0.1850000023841858, 0.3199999928474426, 0.41999998688697815, 0.07499999552965164]",1
34,delay,wM1,tensor(0.0594),"[0.20999999344348907, 0.29499998688697815, 0.41999998688697815, 0.07499999552965164]",1
35,response,wM1,tensor(0.0891),"[0.22499999403953552, 0.2800000011920929, 0.48499998450279236, 0.009999999776482582]",1
36,off,wM2,0,"[0.17999999225139618, 0.32499998807907104, 0.429999977350235, 0.06499999761581421]",1
37,whisker,wM2,tensor(0.1485),"[0.2549999952316284, 0.25, 0.429999977350235, 0.06499999761581421]",1
38,delay,wM2,tensor(0.3762),"[0.3700000047683716, 0.13499999046325684, 0.4399999976158142, 0.054999999701976776]",1
39,response,wM2,tensor(0.0099),"[0.1850000023841858, 0.3199999928474426, 0.4449999928474426, 0.04999999701976776]",1
40,off,ALM,0,"[0.17999999225139618, 0.32499998807907104, 0.429999977350235, 0.06499999761581421]",1
41,whisker,ALM,tensor(0.0396),"[0.19999998807907104, 0.3050000071525574, 0.4350000023841858, 0.05999999865889549]",1
42,delay,ALM,tensor(0.2079),"[0.2849999964237213, 0.2199999988079071, 0.39499998092651367, 0.09999999403953552]",1
43,response,ALM,tensor(-0.0594),"[0.14999999105930328, 0.35499998927116394, 0.3499999940395355, 0.14499999582767487]",1
44,off,tjM1,0,"[0.17999999225139618, 0.32499998807907104, 0.429999977350235, 0.06499999761581421]",1
45,whisker,tjM1,tensor(-0.0099),"[0.17499999701976776, 0.32999998331069946, 0.4449999928474426, 0.04999999701976776]",1
46,delay,tjM1,tensor(0.6238),"[0.4949999749660492, 0.009999999776482582, 0.375, 0.11999999731779099]",1
47,response,tjM1,tensor(-0.0495),"[0.1550000011920929, 0.3499999940395355, 0.38499999046325684, 0.10999999940395355]",1
48,off,wS1,0,"[0.20999999344348907, 0.2800000011920929, 0.4350000023841858, 0.07499999552965164]",2
49,whisker,wS1,tensor(-0.0102),"[0.20499999821186066, 0.2849999964237213, 0.4350000023841858, 0.07499999552965164]",2
50,delay,wS1,tensor(0.0306),"[0.22499999403953552, 0.26499998569488525, 0.42499998211860657, 0.08500000089406967]",2
51,response,wS1,tensor(-0.0510),"[0.1850000023841858, 0.3050000071525574, 0.3700000047683716, 0.14000000059604645]",2
52,off,wS2,0,"[0.20999999344348907, 0.2800000011920929, 0.4350000023841858, 0.07499999552965164]",2
53,whisker,wS2,tensor(0.0612),"[0.23999999463558197, 0.25, 0.45499998331069946, 0.054999999701976776]",2
54,delay,wS2,tensor(0.4286),"[0.41999998688697815, 0.07000000029802322, 0.4399999976158142, 0.07000000029802322]",2
55,response,wS2,tensor(0.0204),"[0.2199999988079071, 0.26999998092651367, 0.4749999940395355, 0.03500000014901161]",2
56,off,wM1,0,"[0.20999999344348907, 0.2800000011920929, 0.4350000023841858, 0.07499999552965164]",2
57,whisker,wM1,tensor(-0.0714),"[0.17499999701976776, 0.3149999976158142, 0.44999998807907104, 0.05999999865889549]",2
58,delay,wM1,tensor(0.0714),"[0.2449999898672104, 0.2449999898672104, 0.4399999976158142, 0.07000000029802322]",2
59,response,wM1,tensor(0.0816),"[0.25, 0.23999999463558197, 0.47999998927116394, 0.029999999329447746]",2
60,off,wM2,0,"[0.20999999344348907, 0.2800000011920929, 0.4350000023841858, 0.07499999552965164]",2
61,whisker,wM2,tensor(0.1020),"[0.25999999046325684, 0.22999998927116394, 0.429999977350235, 0.07999999821186066]",2
62,delay,wM2,tensor(0.3673),"[0.38999998569488525, 0.09999999403953552, 0.4399999976158142, 0.07000000029802322]",2
63,response,wM2,tensor(0.0204),"[0.2199999988079071, 0.26999998092651367, 0.4449999928474426, 0.06499999761581421]",2
64,off,ALM,0,"[0.20999999344348907, 0.2800000011920929, 0.4350000023841858, 0.07499999552965164]",2
65,whisker,ALM,tensor(-0.0714),"[0.17499999701976776, 0.3149999976158142, 0.4399999976158142, 0.07000000029802322]",2
66,delay,ALM,tensor(0.2347),"[0.32499998807907104, 0.16499999165534973, 0.41499999165534973, 0.0949999988079071]",2
67,response,ALM,tensor(-0.0918),"[0.16499999165534973, 0.32499998807907104, 0.35499998927116394, 0.1550000011920929]",2
68,off,tjM1,0,"[0.20999999344348907, 0.2800000011920929, 0.4350000023841858, 0.07499999552965164]",2
69,whisker,tjM1,tensor(-0.0510),"[0.1850000023841858, 0.3050000071525574, 0.429999977350235, 0.07999999821186066]",2
70,delay,tjM1,tensor(0.5510),"[0.47999998927116394, 0.009999999776482582, 0.38999998569488525, 0.11999999731779099]",2
71,response,tjM1,tensor(-0.0306),"[0.19499999284744263, 0.29499998688697815, 0.4050000011920929, 0.10499999672174454]",2
72,off,wS1,0,"[0.1899999976158142, 0.26999998092651367, 0.44999998807907104, 0.08999999612569809]",3
73,whisker,wS1,tensor(0.1413),"[0.2549999952316284, 0.20499999821186066, 0.4599999785423279, 0.07999999821186066]",3
74,delay,wS1,tensor(0.0326),"[0.20499999821186066, 0.2549999952316284, 0.429999977350235, 0.10999999940395355]",3
75,response,wS1,tensor(-0.0543),"[0.16499999165534973, 0.29499998688697815, 0.41999998688697815, 0.11999999731779099]",3
76,off,wS2,0,"[0.1899999976158142, 0.26999998092651367, 0.44999998807907104, 0.08999999612569809]",3
77,whisker,wS2,tensor(0.1413),"[0.2549999952316284, 0.20499999821186066, 0.42499998211860657, 0.11499999463558197]",3
