,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.2800000011920929, 0.22499999403953552, 0.3799999952316284, 0.11499999463558197]",0
1,whisker,wS1,tensor(0.0198),"[0.28999999165534973, 0.2149999886751175, 0.38999998569488525, 0.10499999672174454]",0
2,delay,wS1,tensor(0.2277),"[0.39499998092651367, 0.10999999940395355, 0.4050000011920929, 0.08999999612569809]",0
3,response,wS1,tensor(0.0495),"[0.3050000071525574, 0.19999998807907104, 0.39499998092651367, 0.09999999403953552]",0
4,off,wS2,0,"[0.2800000011920929, 0.22499999403953552, 0.3799999952316284, 0.11499999463558197]",0
5,whisker,wS2,tensor(0.1881),"[0.375, 0.12999999523162842, 0.38499999046325684, 0.10999999940395355]",0
6,delay,wS2,tensor(0.2673),"[0.41499999165534973, 0.08999999612569809, 0.41499999165534973, 0.07999999821186066]",0
7,response,wS2,tensor(0.0198),"[0.28999999165534973, 0.2149999886751175, 0.4050000011920929, 0.08999999612569809]",0
8,off,wM1,0,"[0.2800000011920929, 0.22499999403953552, 0.3799999952316284, 0.11499999463558197]",0
9,whisker,wM1,tensor(-0.0396),"[0.25999999046325684, 0.2449999898672104, 0.38499999046325684, 0.10999999940395355]",0
10,delay,wM1,tensor(-0.0396),"[0.25999999046325684, 0.2449999898672104, 0.38499999046325684, 0.10999999940395355]",0
11,response,wM1,tensor(0.0099),"[0.2849999964237213, 0.2199999988079071, 0.38999998569488525, 0.10499999672174454]",0
12,off,wM2,0,"[0.2800000011920929, 0.22499999403953552, 0.3799999952316284, 0.11499999463558197]",0
13,whisker,wM2,tensor(0.),"[0.2800000011920929, 0.22499999403953552, 0.39499998092651367, 0.09999999403953552]",0
14,delay,wM2,tensor(0.0198),"[0.28999999165534973, 0.2149999886751175, 0.3799999952316284, 0.11499999463558197]",0
15,response,wM2,tensor(0.0099),"[0.2849999964237213, 0.2199999988079071, 0.3999999761581421, 0.0949999988079071]",0
16,off,ALM,0,"[0.2800000011920929, 0.22499999403953552, 0.3799999952316284, 0.11499999463558197]",0
